% Model:              Pt_secm_Bruker_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 19:05
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                L (nm)                   tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 6
0                        25                       0.8151836504760054
61.21999999999999        25                       0.8160380564889961
122.45                   25                       0.8189777384192225
183.67                   25                       0.8240650611723384
244.9                    25                       0.8316405770450548
306.12                   25                       0.8422706623369993
367.35                   25                       0.8569362303790555
428.57                   25                       0.8768730714670953
489.8                    25                       0.9046412922224117
551.02                   25                       0.9438364536868824
612.24                   25                       0.9997162102036435
673.47                   25                       1.081919364238021
734.6899999999999        93.28443199999994        1.0756755027911806
795.9199999999998        100                      1.1003581811445453
857.14                   100                      1.120036416253275
918.37                   100                      1.13078871469938
979.5899999999999        100                      1.1366069848457931
1040.82                  100                      1.1398667737951844
1102.04                  100                      1.1418024938002427
1163.2699999999998       100                      1.143014802045461
1224.4899999999998       100                      1.1438027277587857
1285.71                  100                      1.1443615175714548
1346.94                  100                      1.1448331041475426
1408.1599999999999       100                      1.1449890499935065
1469.39                  100                      1.1452626859044743
1530.61                  100                      1.1455488552998399
1591.8399999999997       100                      1.145771349439693
1653.06                  100                      1.145779297463949
1714.2899999999997       100                      1.1458711591189616
1775.5099999999998       100                      1.1459562195807171
1836.7299999999998       100                      1.146011478699358
1897.96                  100                      1.1460379499610147
1959.1799999999998       100                      1.1460358105692952
2020.4099999999999       100                      1.146144589532441
2081.6299999999997       100                      1.1461510472931393
2142.86                  100                      1.1461411766281882
2204.08                  100                      1.146163233033995
2265.31                  100                      1.1462030722285628
2326.53                  100                      1.1463984381382821
2387.76                  100                      1.1461276248791346
2448.9799999999996       100                      1.1462673614183028
2510.2                   100                      1.1460603389393156
2571.43                  100                      1.1461330608759968
2632.6499999999996       100                      1.1460924999687383
2693.88                  100                      1.1462284144789532
2755.1                   100                      1.1463909779637853
2816.3299999999995       100                      1.1462345236148197
2877.55                  100                      1.1462091793810665
2938.78                  100                      1.1461141959126748
2999.9999999999995       100                      1.1461306803645643
