% Model:              Pt_secm_Bruker_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 18 2020, 00:50
% Table:              Table 2 - L = 2 (tds.ntflux_cP/(2.4*4*D*Rbase*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 4                    TotalFlux (mol/s), Integral 4
0                                                 0                                                 1.0139332604331854                                7.154313085616551E-16
0.82                                              0                                                 1.0135681499900482                                7.151736866329759E-16
1.63                                              0                                                 1.0132742266902777                                7.149662943526601E-16
2.45                                              0                                                 1.012874536663647                                 7.146842730698676E-16
3.27                                              0                                                 1.0125583543166168                                7.144611748058063E-16
4.08                                              0                                                 1.0118204298816806                                7.139404953245123E-16
4.9                                               0                                                 1.0109225488988682                                7.13306950503042E-16
5.71                                              0                                                 1.0101035148808986                                7.127290400999617E-16
6.53                                              0                                                 1.008531157866857                                 7.116195849908521E-16
7.35                                              0                                                 1.0070763762515482                                7.105930910830955E-16
8.16                                              0                                                 1.0050183189768214                                7.091409258700467E-16
8.98                                              0                                                 1.0028011073899066                                7.075764613743199E-16
9.8                                               1.985942857142854                                 0.8519101244770142                                6.011077838309818E-16
10.61                                             2                                                 0.8454207045636069                                5.965288491400796E-16
11.43                                             2                                                 0.8386928522589047                                5.917816765538838E-16
12.24                                             2                                                 0.8307504317776451                                5.861775046623082E-16
13.06                                             2                                                 0.8210935866109944                                5.793636347127179E-16
13.88                                             2                                                 0.8094882716190984                                5.711749244544363E-16
14.69                                             2                                                 0.7954911819162624                                5.612985779601146E-16
15.51                                             2                                                 0.7780803717506495                                5.490135103072573E-16
16.33                                             2                                                 0.7567670960167087                                5.339748629493895E-16
17.14                                             2                                                 0.7309680621511294                                5.157710646538351E-16
17.96                                             2                                                 0.6994817547438814                                4.935543261472842E-16
18.78                                             2                                                 0.661759819466604                                 4.669377286156361E-16
19.59                                             2                                                 0.6197544355107854                                4.3729872969641E-16
20.41                                             2                                                 0.573846746861302                                 4.0490626458533604E-16
21.22                                             2                                                 0.5292173924371087                                3.734157921036222E-16
22.04                                             2                                                 0.4866812800826653                                3.434023112263288E-16
22.86                                             2                                                 0.44867163682536676                               3.165827069439775E-16
23.67                                             2                                                 0.4159181948766377                                2.934718783049554E-16
24.49                                             2                                                 0.3863457961860728                                2.726055937888927E-16
25.31                                             2                                                 0.3607764687359824                                2.545638763401075E-16
26.12                                             2                                                 0.3382618390669983                                2.386775536456751E-16
26.94                                             2                                                 0.318027741703778                                 2.244003745461863E-16
27.76                                             2                                                 0.3000351456090181                                2.117047987417242E-16
28.57                                             2                                                 0.2838070975965113                                2.0025428806409761E-16
29.39                                             2                                                 0.2689265406853452                                1.897545671075803E-16
30.2                                              2                                                 0.25579631654728596                               1.8048988095576491E-16
31.02                                             2                                                 0.2432894490604426                                1.716650352570479E-16
31.84                                             2                                                 0.2317895222035519                                1.635506868668261E-16
32.65                                             2                                                 0.22130134303337773                               1.5615022764435126E-16
33.47                                             2                                                 0.21148529673266128                               1.4922402537456578E-16
34.29                                             2                                                 0.20227043326365557                               1.4272201771083522E-16
35.1                                              2                                                 0.19385465495585427                               1.367838445368516E-16
35.92                                             2                                                 0.18568561674582384                               1.3101977117585284E-16
36.73                                             2                                                 0.1781790872062433                                1.257231639327255E-16
37.55                                             2                                                 0.17097641696666455                               1.2064095981167814E-16
38.37                                             2                                                 0.16427298481891092                               1.1591101808822385E-16
39.18                                             2                                                 0.15795152852397895                               1.11450598526519E-16
40                                                2                                                 0.1519728830994137                                1.0723206631494647E-16
