% Model:              Pt_secm_Bruker_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 10:08
% Table:              Table 16 - L = 25 (kfore*cR, n*F*kfore*cR, tds.ntflux_cP/(2.4*4*D*Rbase))
% Xa (nm)                                         L (nm)                                            kfore*cR (mol/s), Integral 7                      n*F*kfore*cR (pA), Integral 7                     tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 7
0                                                 -50                                               1.7271451469712945E-12                            166643.59950552526                                1.3128551881453336
61.21999999999999                                 -50                                               1.7271497499467248E-12                            166644.04362361087                                1.3123792341404386
122.45                                            -50                                               1.7271595027034651E-12                            166644.984618344                                  1.3108240264058635
183.67                                            -50                                               1.7271469140934328E-12                            166643.77000630376                                1.3081918129941492
244.9                                             -50                                               1.7271565075507141E-12                            166644.69563103173                                1.3038621326063162
306.12                                            -50                                               1.7271599725202972E-12                            166645.02994862018                                1.2977595331491558
367.35                                            -50                                               1.727161068592791E-12                             166645.1357031761                                 1.288722116111818
428.57                                            -50                                               1.7271684369452053E-12                            166645.84663865736                                1.2753391356964503
489.8                                             -50                                               1.7271800499067135E-12                            166646.96711524934                                1.2548320996932352
551.02                                            -50                                               1.727205346397756E-12                             166649.40784718798                                1.221491199664183
612.24                                            -50                                               1.7272460323405307E-12                            166653.33343037555                                1.164708808977068
673.47                                            -50                                               1.7273017150522287E-12                            166658.70597681298                                1.0616833462163258
734.6899999999999                                 18.284431999999942                                1.7273672307444254E-12                            166665.0272583761                                 0.6877916939161102
795.9199999999998                                 25                                                1.727446730322767E-12                             166672.69777519195                                0.563913404578525
857.14                                            25                                                1.7275033047910498E-12                            166678.1563627644                                 0.4767481648388664
918.37                                            25                                                1.7275468947478446E-12                            166682.36213974634                                0.41268062468045585
979.5899999999999                                 25                                                1.7275785499273668E-12                            166685.4163897417                                 0.3640732318858646
1040.82                                           25                                                1.727603267091961E-12                             166687.80122536808                                0.3260223260099529
1102.04                                           25                                                1.7276176155094474E-12                            166689.18563242813                                0.29561614543653736
1163.2699999999998                                25                                                1.7276401528422873E-12                            166691.36014698824                                0.2704893336704531
1224.4899999999998                                25                                                1.7276511169267302E-12                            166692.41801667563                                0.24940390651595212
1285.71                                           25                                                1.7276582774384967E-12                            166693.1088986535                                 0.2313364311413236
1346.94                                           25                                                1.7276677366604137E-12                            166694.0215716798                                 0.21560800993754492
1408.1599999999999                                25                                                1.7276820427122512E-12                            166695.40189109166                                0.20176284993356033
1469.39                                           25                                                1.727689282503438E-12                             166696.1004223439                                 0.18951224045415013
1530.61                                           25                                                1.7276966401021384E-12                            166696.81032025462                                0.1784999748798803
1591.8399999999997                                25                                                1.7277042575053246E-12                            166697.5452854011                                 0.16857717709033834
1653.06                                           25                                                1.7277057324490479E-12                            166697.68759534633                                0.15952028502306603
1714.2899999999997                                25                                                1.727705308908054E-12                             166697.64672999387                                0.15132342224058767
1775.5099999999998                                25                                                1.7277172358454431E-12                            166698.79750054723                                0.14375304488403767
1836.7299999999998                                25                                                1.727720249326935E-12                             166699.08825630974                                0.13679280087716839
1897.96                                           25                                                1.7277222283151819E-12                            166699.27919899003                                0.13036523697529614
1959.1799999999998                                25                                                1.727730277693781E-12                             166700.05584328528                                0.12442226535634059
2020.4099999999999                                25                                                1.7277348247858134E-12                            166700.49456945894                                0.11887732025806542
2081.6299999999997                                25                                                1.7277383675356633E-12                            166700.83639167895                                0.11369119604981628
2142.86                                           25                                                1.7277405984929355E-12                            166701.05164559057                                0.10889358808447114
2204.08                                           25                                                1.7277446982403275E-12                            166701.44720971741                                0.10439084591192967
2265.31                                           25                                                1.7277417296990853E-12                            166701.16079001565                                0.1001428583515749
2326.53                                           25                                                1.7277438780421056E-12                            166701.36807289283                                0.0961711129805665
2387.76                                           25                                                1.7277513100487251E-12                            166702.08515005102                                0.0923982172084195
2448.9799999999996                                25                                                1.7277526262025414E-12                            166702.21213915283                                0.08881988686909784
2510.2                                            25                                                1.7277545479823554E-12                            166702.39756207756                                0.0854548937015155
2571.43                                           25                                                1.727756729361751E-12                             166702.60803246824                                0.08226410259565145
2632.6499999999996                                25                                                1.727758116576031E-12                             166702.74187783877                                0.0792764216202992
2693.88                                           25                                                1.7277610956485773E-12                            166703.0293136535                                 0.07651395721241185
2755.1                                            25                                                1.7277620058036372E-12                            166703.11712996385                                0.07373706269047495
2816.3299999999995                                25                                                1.727761060057639E-12                             166703.0258796615                                 0.0711407718042788
2877.55                                           25                                                1.727764279974841E-12                             166703.33655337244                                0.06869212607895898
2938.78                                           25                                                1.7277605497104494E-12                            166702.97663881272                                0.06635505319733818
2999.9999999999995                                25                                                1.7277681609524628E-12                            166703.71100949813                                0.06406946178903894
