% Model:              Pt_secm_Bruker_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 12:03
% Table:              Table 16 - L = 25 (kfore*cR, n*F*kfore*cR, tds.ntflux_cP/(2.4*4*D*Rbase))
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 7
0                                                 -50                                               0.7337945017845755
61.21999999999999                                 -50                                               0.7346051238232114
122.45                                            -50                                               0.7372496944192863
183.67                                            -50                                               0.7421650389635092
244.9                                             -50                                               0.7492647363422177
306.12                                            -50                                               0.7595207980462145
367.35                                            -50                                               0.7743732840632838
428.57                                            -50                                               0.7952370168912343
489.8                                             -50                                               0.8268241969264375
551.02                                            -50                                               0.8754374282325755
612.24                                            -50                                               0.9554894508589139
673.47                                            -50                                               1.1030852508224172
734.6899999999999                                 18.284431999999942                                1.2359133986538147
795.9199999999998                                 25                                                1.3251163338424368
857.14                                            25                                                1.362031668254862
918.37                                            25                                                1.3759031374758983
979.5899999999999                                 25                                                1.3819586103327175
1040.82                                           25                                                1.3847702415818572
1102.04                                           25                                                1.3862901768516676
1163.2699999999998                                25                                                1.3872249829169412
1224.4899999999998                                25                                                1.3878651271023763
1285.71                                           25                                                1.388254798779857
1346.94                                           25                                                1.3884928518512734
1408.1599999999999                                25                                                1.3888906798743286
1469.39                                           25                                                1.3893684597214353
1530.61                                           25                                                1.3895938278925664
1591.8399999999997                                25                                                1.3897101680107682
1653.06                                           25                                                1.3898882139026973
1714.2899999999997                                25                                                1.3902147907111373
1775.5099999999998                                25                                                1.3897917550305452
1836.7299999999998                                25                                                1.389278064586162
1897.96                                           25                                                1.3899468065213079
1959.1799999999998                                25                                                1.3904655208606311
2020.4099999999999                                25                                                1.3901997497160674
2081.6299999999997                                25                                                1.389813589014963
2142.86                                           25                                                1.3902317603768397
2204.08                                           25                                                1.390740411742474
2265.31                                           25                                                1.3915933159190506
2326.53                                           25                                                1.3920846523477621
2387.76                                           25                                                1.3924876398363897
2448.9799999999996                                25                                                1.3913189142297782
2510.2                                            25                                                1.3900506368797154
2571.43                                           25                                                1.3896114026002226
2632.6499999999996                                25                                                1.3902844967055104
2693.88                                           25                                                1.3935419973066354
2755.1                                            25                                                1.3945288699292244
2816.3299999999995                                25                                                1.3931353388017045
2877.55                                           25                                                1.3955276176784392
2938.78                                           25                                                1.3960232338425222
2999.9999999999995                                25                                                1.3914636492061931
