% Model:              Pt_secm_Bruker_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 20 2020, 10:07
% Table:              Table 3 - L = 4 (tds.ntflux_cP/(2.4*4*D*Rbase*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 6                    TotalFlux (mol/s), Integral 6
0                                                 2                                                 0.7199946746977358                                5.080282424667193E-16
0.82                                              2                                                 0.720453955297401                                 5.083523108578482E-16
1.63                                              2                                                 0.7209544619844416                                5.087054683762208E-16
2.45                                              2                                                 0.7223215487919911                                5.096700848276293E-16
3.27                                              2                                                 0.7238197179961764                                5.107271930180996E-16
4.08                                              2                                                 0.7256674289586151                                5.120309378731972E-16
4.9                                               2                                                 0.7283880838471015                                5.139506319625156E-16
5.71                                              2                                                 0.7313367733361027                                5.160312272659533E-16
6.53                                              2                                                 0.7351646180175497                                5.187321544731832E-16
7.35                                              2                                                 0.7394311610498985                                5.217426272368091E-16
8.16                                              2                                                 0.7445463010862682                                5.253518700464696E-16
8.98                                              2                                                 0.7497311363311953                                5.290102897952916E-16
9.8                                               3.985942857142854                                 0.7680507643129608                                5.41936619299225E-16
10.61                                             4                                                 0.7742533420956937                                5.463131581827222E-16
11.43                                             4                                                 0.7812095710454946                                5.512214733296999E-16
12.24                                             4                                                 0.7890718652850743                                5.567691081451465E-16
13.06                                             4                                                 0.7972428324653087                                5.625345425875221E-16
13.88                                             4                                                 0.8066998693297613                                5.692074277990817E-16
14.69                                             4                                                 0.8170131682612535                                5.764844915251417E-16
15.51                                             4                                                 0.828292884571793                                 5.844434593538599E-16
16.33                                             4                                                 0.8403805233451938                                5.92972497272368E-16
17.14                                             4                                                 0.8536808649303067                                6.023572182948232E-16
17.96                                             4                                                 0.8668596975804344                                6.11656202612754E-16
18.78                                             4                                                 0.8801245754141094                                6.210159004121951E-16
19.59                                             4                                                 0.892308021636644                                 6.296125400668163E-16
20.41                                             4                                                 0.9033914526246094                                6.374330089719244E-16
21.22                                             4                                                 0.9124658553751941                                6.4383590755273355E-16
22.04                                             4                                                 0.9200895325349423                                6.492151741566583E-16
22.86                                             4                                                 0.9259945483830696                                6.533817533390973E-16
23.67                                             4                                                 0.9302284698297585                                6.563692083118803E-16
24.49                                             4                                                 0.9337992458246414                                6.588887478538638E-16
25.31                                             4                                                 0.9362718289552274                                6.606334025108094E-16
26.12                                             4                                                 0.9382392093733041                                6.620215861338043E-16
26.94                                             4                                                 0.9400843307760834                                6.633235037956059E-16
27.76                                             4                                                 0.9411074401245406                                6.640454097518787E-16
28.57                                             4                                                 0.9424927275035493                                6.650228685265031E-16
29.39                                             4                                                 0.9433831632721238                                6.656511600048135E-16
30.2                                              4                                                 0.9441704228012974                                6.662066503285982E-16
31.02                                             4                                                 0.9446272594662424                                6.665289942793803E-16
31.84                                             4                                                 0.9450829097837732                                6.668505011434268E-16
32.65                                             4                                                 0.945546094994293                                 6.67177324627974E-16
33.47                                             4                                                 0.9461738652371484                                6.676202793113316E-16
34.29                                             4                                                 0.9460598462609666                                6.675398275217362E-16
35.1                                              4                                                 0.9466119674725745                                6.679294042486503E-16
35.92                                             4                                                 0.9471568878103499                                6.683139000389817E-16
36.73                                             4                                                 0.9470955986388337                                6.68270654399562E-16
37.55                                             4                                                 0.9472536699235952                                6.683821894980872E-16
38.37                                             4                                                 0.9473395077338281                                6.684427566569882E-16
39.18                                             4                                                 0.9475739853871706                                6.686082040891865E-16
40                                                4                                                 0.9478105585054999                                6.687751300814813E-16
