% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 13 2020, 17:36
% Table:              Table 1 - L = 1 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 7                    Total Flux (mol/s), Integral 7
0                                                 -1                                                1.6438165587100033                                1.3808059093164025E-16
0.82                                              -1                                                1.6368104900968345                                1.374920811681336E-16
1.63                                              -1                                                1.6421739400443705                                1.3794261096372711E-16
2.45                                              -1                                                1.6448140545415244                                1.3816438058148817E-16
3.27                                              -1                                                1.6434028388244666                                1.3804583846125527E-16
4.08                                              -1                                                1.637413120632945                                 1.3754270213316727E-16
4.9                                               -1                                                1.644311370797388                                 1.3812215514698083E-16
5.71                                              1                                                 1.178088292477976                                 9.895941656815008E-17
6.53                                              1                                                 1.1835458593316166                                9.941785218385607E-17
7.35                                              1                                                 1.1864883911948898                                9.966502486037063E-17
8.16                                              1                                                 1.1778820123823217                                9.894208904011523E-17
8.98                                              1                                                 1.173133078158092                                 9.85431785652799E-17
9.8                                               1                                                 1.1782598554940886                                9.897382786150354E-17
10.61                                             1                                                 1.1787624113172646                                9.901604255065012E-17
11.43                                             1                                                 1.174706356260201                                 9.867533392585701E-17
12.24                                             1                                                 1.1708482813559322                                9.835125563389863E-17
13.06                                             1                                                 1.167118342819038                                 9.803794079679908E-17
13.88                                             1                                                 1.1597617859440201                                9.741999001929786E-17
14.69                                             1                                                 1.1545426224949595                                9.69815802895768E-17
15.51                                             1                                                 1.1474366179715214                                9.638467590960788E-17
16.33                                             1                                                 1.1330414394886539                                9.517548091704645E-17
17.14                                             1                                                 1.1100160682138092                                9.324134972995971E-17
17.96                                             1                                                 1.068770764581929                                 8.977674422488186E-17
18.78                                             1                                                 0.9928022688085392                                8.339539057991724E-17
19.59                                             1                                                 0.866585330282112                                 7.279316774369744E-17
20.41                                             1                                                 0.7032302912450796                                5.90713444645867E-17
21.22                                             1                                                 0.5583156097257578                                4.6898511216963527E-17
22.04                                             1                                                 0.4581030607366266                                3.8480657101876683E-17
22.86                                             1                                                 0.39295334840257556                               3.300808126581635E-17
23.67                                             1                                                 0.34634571739439635                               2.909304026112926E-17
24.49                                             1                                                 0.3123708766297751                                2.6239153636901105E-17
25.31                                             1                                                 0.286052196788134                                 2.4028384530203348E-17
26.12                                             1                                                 0.26583258770174983                               2.2329937366946957E-17
26.94                                             1                                                 0.24896436577214326                               2.091300672486003E-17
27.76                                             1                                                 0.23461840944965434                               1.970794639377094E-17
28.57                                             1                                                 0.22116712282842743                               1.8578038317587922E-17
29.39                                             1                                                 0.20916118613410634                               1.7569539635264907E-17
30.2                                              1                                                 0.19883391795155392                               1.6702049107930444E-17
31.02                                             1                                                 0.1890286397953011                                1.5878405742805285E-17
31.84                                             1                                                 0.18038890692831785                               1.5152668181978712E-17
32.65                                             1                                                 0.17207173765742778                               1.4454025963223905E-17
33.47                                             1                                                 0.16478429914915427                               1.384188112852894E-17
34.29                                             1                                                 0.1589650835443138                                1.3353067017722322E-17
35.1                                              1                                                 0.1503879302896606                                1.2632586144331487E-17
35.92                                             1                                                 0.14383276209302182                               1.2081952015813832E-17
36.73                                             1                                                 0.13796099928100322                               1.1588723939604254E-17
37.55                                             1                                                 0.13251870447219588                               1.1131571175664476E-17
38.37                                             1                                                 0.12710805727474458                               1.0677076811078542E-17
39.18                                             1                                                 0.1258214885262919                                1.0569005036208508E-17
40                                                1                                                 0.11885477830159846                               9.983801377334264E-18
