% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 13 2020, 02:46
% Table:              Table 1 - L = 1 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 7                    Total Flux (mol/s), Integral 7
0                                                 -1                                                0.5073082459900746                                4.26138926631663E-17
0.82                                              -1                                                0.5074812804635388                                4.262842755893728E-17
1.63                                              -1                                                0.5078276319086035                                4.265752108032281E-17
2.45                                              -1                                                0.5087019738540736                                4.273096580374223E-17
3.27                                              -1                                                0.5098331125386898                                4.2825981453250056E-17
4.08                                              -1                                                0.5118063305895758                                4.299173176952421E-17
4.9                                               -1                                                0.5129668914072961                                4.3089218878212916E-17
5.71                                              1                                                 0.7891041272892323                                6.628474669229542E-17
6.53                                              1                                                 0.7928710557471214                                6.66011686827581E-17
7.35                                              1                                                 0.7969929855498055                                6.694741078618376E-17
8.16                                              1                                                 0.8020823011974666                                6.737491330058716E-17
8.98                                              1                                                 0.8078723840837205                                6.786128026303256E-17
9.8                                               1                                                 0.8146202620909995                                6.84281020156441E-17
10.61                                             1                                                 0.8217334153030202                                6.902560688545379E-17
11.43                                             1                                                 0.8301484713428213                                6.973247159279703E-17
12.24                                             1                                                 0.8393996841636526                                7.05095734697468E-17
13.06                                             1                                                 0.8501579059001043                                7.141326409560875E-17
13.88                                             1                                                 0.8624842744405785                                7.244867905300856E-17
14.69                                             1                                                 0.8760411735260193                                7.358745857618567E-17
15.51                                             1                                                 0.8931997262413116                                7.502877700427005E-17
16.33                                             1                                                 0.9166584405361207                                7.699930900503403E-17
17.14                                             1                                                 0.9524703552492336                                8.000750984093582E-17
17.96                                             1                                                 1.0124600938474377                                8.50466478831844E-17
18.78                                             1                                                 1.1303835628357521                                9.495221927820308E-17
19.59                                             1                                                 1.3305203765766551                                1.1176371163243916E-16
20.41                                             1                                                 1.520131244299661                                 1.276910245211717E-16
21.22                                             1                                                 1.5960781995760764                                1.3407056876439047E-16
22.04                                             1                                                 1.6091107923783328                                1.3516530655978012E-16
22.86                                             1                                                 1.6118425007624813                                1.3539477006404843E-16
23.67                                             1                                                 1.611860087640973                                 1.3539624736184156E-16
24.49                                             1                                                 1.614424968886691                                 1.3561169738648231E-16
25.31                                             1                                                 1.6119148594066863                                1.3540084819016187E-16
26.12                                             1                                                 1.6144726351627634                                1.3561570135367208E-16
26.94                                             1                                                 1.6119355776245194                                1.3540258852045954E-16
27.76                                             1                                                 1.6121452576385302                                1.354202016416366E-16
28.57                                             1                                                 1.6144574042135524                                1.3561442195393884E-16
29.39                                             1                                                 1.612124132623111                                 1.3541842714034118E-16
30.2                                              1                                                 1.6126116405252142                                1.3545937780411816E-16
31.02                                             1                                                 1.6124385121624345                                1.354448350216439E-16
31.84                                             1                                                 1.6127371272739013                                1.3546991869100812E-16
32.65                                             1                                                 1.613207848388825                                 1.3550945926466112E-16
33.47                                             1                                                 1.6128325922750235                                1.3547793775110176E-16
34.29                                             1                                                 1.61246852991113                                  1.354473565125351E-16
35.1                                              1                                                 1.612882636447707                                 1.354821414616076E-16
35.92                                             1                                                 1.6128928589756515                                1.3548300015395423E-16
36.73                                             1                                                 1.612888096843172                                 1.3548260013482642E-16
37.55                                             1                                                 1.6131602146542214                                1.3550545803095436E-16
38.37                                             1                                                 1.6128152393141146                                1.3547648010238574E-16
39.18                                             1                                                 1.6130604036467477                                1.3549707390632696E-16
40                                                1                                                 1.6127658944545318                                1.3547233513418093E-16
