% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 08:43
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*a) (mol/m^3), Integral 6
0                                                 25                                                1.1105097305217577
61.21999999999999                                 25                                                1.1127785045157994
122.45                                            25                                                1.111205823330379
183.67                                            25                                                1.1092105772146073
244.9                                             25                                                1.1077841604024843
306.12                                            25                                                1.1079284521296522
367.35                                            25                                                1.1062404992800636
428.57                                            25                                                1.1004277249366128
489.8                                             25                                                1.0969472726144374
551.02                                            25                                                1.088910063148881
612.24                                            25                                                1.0743928588084195
673.47                                            100                                               0.8546001888314902
734.6899999999999                                 100                                               0.7679216540295577
795.9199999999998                                 100                                               0.6581030174519887
857.14                                            100                                               0.5642369994387542
918.37                                            100                                               0.4961428744558034
979.5899999999999                                 100                                               0.4442519210984667
1040.82                                           100                                               0.4026341195432635
1102.04                                           100                                               0.3698906435841409
1163.2699999999998                                100                                               0.3409615086903415
1224.4899999999998                                100                                               0.3166309707847811
1285.71                                           100                                               0.29600505878898087
1346.94                                           100                                               0.27718536513683467
1408.1599999999999                                100                                               0.25995308522057425
1469.39                                           100                                               0.24541679488381463
1530.61                                           100                                               0.23141603357025525
1591.8399999999997                                100                                               0.21904416217473205
1653.06                                           100                                               0.20777899615449735
1714.2899999999997                                100                                               0.19783050377024622
1775.5099999999998                                100                                               0.1879032661587811
1836.7299999999998                                100                                               0.17944075148766966
1897.96                                           100                                               0.17093555489085033
1959.1799999999998                                100                                               0.16334809616898663
2020.4099999999999                                100                                               0.1565510232539284
2081.6299999999997                                100                                               0.1499050965704859
2142.86                                           100                                               0.1434585415984349
2204.08                                           100                                               0.13790945203224436
2265.31                                           100                                               0.1324192082368719
2326.53                                           100                                               0.1270202227777142
2387.76                                           100                                               0.12235433154175432
2448.9799999999996                                100                                               0.11770227409308684
2510.2                                            100                                               0.11315909378143041
2571.43                                           100                                               0.10899346105084029
2632.6499999999996                                100                                               0.10523525631752068
2693.88                                           100                                               0.1013470057426997
2755.1                                            100                                               0.09778782756600848
2816.3299999999995                                100                                               0.09460406098010771
2877.55                                           100                                               0.0912052895464748
2938.78                                           100                                               0.08828299489404173
2999.9999999999995                                100                                               0.08517002779297775
