% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 01:27
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*a) (mol/m^3), Integral 6
0                                                 25                                                0.9044922110890794
61.21999999999999                                 25                                                0.9070734711475058
122.45                                            25                                                0.9074212691211616
183.67                                            25                                                0.9086545028225741
244.9                                             25                                                0.9118253288333509
306.12                                            25                                                0.9181201228591463
367.35                                            25                                                0.9244388766916323
428.57                                            25                                                0.9301607184814236
489.8                                             25                                                0.9414373811474746
551.02                                            25                                                0.9543825501115362
612.24                                            25                                                0.9708796447000481
673.47                                            100                                               1.0478399360536317
734.6899999999999                                 100                                               1.0918535970016965
795.9199999999998                                 100                                               1.1204099355015993
857.14                                            100                                               1.1297473503230886
918.37                                            100                                               1.134389262608488
979.5899999999999                                 100                                               1.1350905941480387
1040.82                                           100                                               1.1337022201885492
1102.04                                           100                                               1.1358437908190957
1163.2699999999998                                100                                               1.134326118098738
1224.4899999999998                                100                                               1.1342280249698946
1285.71                                           100                                               1.1362791960786298
1346.94                                           100                                               1.1361982625700486
1408.1599999999999                                100                                               1.1344115852325682
1469.39                                           100                                               1.1362519267656754
1530.61                                           100                                               1.134571699183815
1591.8399999999997                                100                                               1.134452152672179
1653.06                                           100                                               1.134665572546349
1714.2899999999997                                100                                               1.136474742321817
1775.5099999999998                                100                                               1.134625212323311
1836.7299999999998                                100                                               1.1365862984699828
1897.96                                           100                                               1.1347966696922644
1959.1799999999998                                100                                               1.1347962243153134
2020.4099999999999                                100                                               1.1367009260058456
2081.6299999999997                                100                                               1.1366032112849644
2142.86                                           100                                               1.1349839923226819
2204.08                                           100                                               1.1372847949848652
2265.31                                           100                                               1.1371201285792925
2326.53                                           100                                               1.1353126388580965
2387.76                                           100                                               1.136985519575651
2448.9799999999996                                100                                               1.1368860047135065
2510.2                                            100                                               1.1352073044044952
2571.43                                           100                                               1.134983837495343
2632.6499999999996                                100                                               1.136678685994664
2693.88                                           100                                               1.1350628300415797
2755.1                                            100                                               1.1350044523786882
2816.3299999999995                                100                                               1.1368318021084547
2877.55                                           100                                               1.1352057290428663
2938.78                                           100                                               1.1368338940304628
2999.9999999999995                                100                                               1.134994547990991
