% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 13 2020, 02:46
% Table:              Table 2 - L = 2 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 4                    TotalFlux (mol/s), Integral 4
0                                                 0                                                 0.6990955774101004                                5.87240285024484E-17
0.82                                              0                                                 0.6993475491252306                                5.874519412651946E-17
1.63                                              0                                                 0.6999141368480133                                5.879278749523324E-17
2.45                                              0                                                 0.7010492158911503                                5.888813413485675E-17
3.27                                              0                                                 0.7026374842642973                                5.902154867820083E-17
4.08                                              0                                                 0.7045418421949416                                5.918151474437497E-17
4.9                                               0                                                 0.7071085549962612                                5.939711861968585E-17
5.71                                              2                                                 0.8256188511215679                                6.935198349421188E-17
6.53                                              2                                                 0.8296101407388721                                6.96872518220653E-17
7.35                                              2                                                 0.8340427958699643                                7.005959485307711E-17
8.16                                              2                                                 0.8392929771735715                                7.050061008258033E-17
8.98                                              2                                                 0.8451931941364763                                7.0996228307464E-17
9.8                                               2                                                 0.8518615498653833                                7.155637018869216E-17
10.61                                             2                                                 0.8606424443612714                                7.229396532634678E-17
11.43                                             2                                                 0.8680795712782423                                7.291868398737241E-17
12.24                                             2                                                 0.877573778430353                                 7.371619738814975E-17
13.06                                             2                                                 0.888843102470255                                 7.466282060750159E-17
13.88                                             2                                                 0.9019600393471324                                7.576464330515928E-17
14.69                                             2                                                 0.9168367045799153                                7.701428318471297E-17
15.51                                             2                                                 0.9355892229258791                                7.858949472577398E-17
16.33                                             2                                                 0.9601036348070542                                8.06487053237925E-17
17.14                                             2                                                 0.991956596041057                                 8.332435406744861E-17
17.96                                             2                                                 1.0362686315018985                                8.704656504615925E-17
18.78                                             2                                                 1.0954415935421113                                9.201709385753743E-17
19.59                                             2                                                 1.1612120283147906                                9.754181037844268E-17
20.41                                             2                                                 1.217569853064323                                 1.0227586765740335E-16
21.22                                             2                                                 1.249954832878854                                 1.0499620596182385E-16
22.04                                             2                                                 1.2650122434295141                                1.0626102844807909E-16
22.86                                             2                                                 1.2708354580269523                                1.0675017847426384E-16
23.67                                             2                                                 1.2735860647682402                                1.0698122944053217E-16
24.49                                             2                                                 1.274917135844057                                 1.0709303941090094E-16
25.31                                             2                                                 1.2756273034951475                                1.0715269349359249E-16
26.12                                             2                                                 1.2759430115575905                                1.071792129708376E-16
26.94                                             2                                                 1.2761304271941605                                1.0719495588430944E-16
27.76                                             2                                                 1.276162327623763                                 1.0719763552039614E-16
28.57                                             2                                                 1.2764173281921134                                1.0721905556813759E-16
29.39                                             2                                                 1.2780197775692959                                1.0735366131582087E-16
30.2                                              2                                                 1.2765625176390558                                1.0723125148168085E-16
31.02                                             2                                                 1.2764554892691595                                1.0722226109860927E-16
31.84                                             2                                                 1.2767035367045352                                1.0724309708318096E-16
32.65                                             2                                                 1.2766430508419022                                1.072380162707197E-16
33.47                                             2                                                 1.2765639849898551                                1.0723137473914783E-16
34.29                                             2                                                 1.2783649024730865                                1.073826518077394E-16
35.1                                              2                                                 1.276759223052835                                 1.0724777473643782E-16
35.92                                             2                                                 1.2766117119355775                                1.0723538380258815E-16
36.73                                             2                                                 1.2768707176852068                                1.0725714028555738E-16
37.55                                             2                                                 1.276821341384894                                 1.0725299267633109E-16
38.37                                             2                                                 1.2764826358779346                                1.0722454141374626E-16
39.18                                             2                                                 1.2765967182412579                                1.0723412433226556E-16
40                                                2                                                 1.2766944612102271                                1.0724233474165927E-16
