% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 11:59
% Table:              Table 16 - L = 25 (kfore*cR, n*F*kfore*cR, tds.ntflux_cP/(2.4*4*D*Rbase))
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*a) (mol/m^3), Integral 7
0                                                 -50                                               1.6182966652947204
61.21999999999999                                 -50                                               1.6187330251738654
122.45                                            -50                                               1.618706241248152
183.67                                            -50                                               1.6181107189780586
244.9                                             -50                                               1.6186505664410982
306.12                                            -50                                               1.61816990675457
367.35                                            -50                                               1.6182616424503657
428.57                                            -50                                               1.6179325344143818
489.8                                             -50                                               1.618217648057227
551.02                                            -50                                               1.6178524864941797
612.24                                            -50                                               1.617630469548712
673.47                                            25                                                1.0359793467640435
734.6899999999999                                 25                                                0.8581335893763734
795.9199999999998                                 25                                                0.502942546282415
857.14                                            25                                                0.3689638490826304
918.37                                            25                                                0.3152501631423644
979.5899999999999                                 25                                                0.28071688956464114
1040.82                                           25                                                0.2546745587449538
1102.04                                           25                                                0.23337306241014016
1163.2699999999998                                25                                                0.21548146383283528
1224.4899999999998                                25                                                0.200068165615629
1285.71                                           25                                                0.18697274847872408
1346.94                                           25                                                0.17506357311214032
1408.1599999999999                                25                                                0.16420670516128666
1469.39                                           25                                                0.15496359231863877
1530.61                                           25                                                0.1461508939306379
1591.8399999999997                                25                                                0.1383118633193362
1653.06                                           25                                                0.1314356420717466
1714.2899999999997                                25                                                0.12474712676333621
1775.5099999999998                                25                                                0.11864444527966911
1836.7299999999998                                25                                                0.11345500479261303
1897.96                                           25                                                0.10788516825681888
1959.1799999999998                                25                                                0.10304623340096727
2020.4099999999999                                25                                                0.09865135670810576
2081.6299999999997                                25                                                0.09478287293504786
2142.86                                           25                                                0.09146167262605348
2204.08                                           25                                                0.08831177681450961
2265.31                                           25                                                0.08613275545701865
2326.53                                           25                                                0.08298941477862139
2387.76                                           25                                                0.07807930479012468
2448.9799999999996                                25                                                0.07437157099767253
2510.2                                            25                                                0.07185767710763329
2571.43                                           25                                                0.06901859342344727
2632.6499999999996                                25                                                0.06647385724274132
2693.88                                           25                                                0.06417026227655104
2755.1                                            25                                                0.062380344646590404
2816.3299999999995                                25                                                0.060385912128362314
2877.55                                           25                                                0.05791649424470118
2938.78                                           25                                                0.0557459555254706
2999.9999999999995                                25                                                0.05382830453609569
