% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 13 2020, 17:37
% Table:              Table 3 - L = 4 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 6                    TotalFlux (mol/s), Integral 6
0                                                 2                                                 1.1052262828965138                                9.28390077633073E-17
0.82                                              2                                                 1.105004779148972                                 9.282040144851373E-17
1.63                                              2                                                 1.1049204255142366                                9.281331574319596E-17
2.45                                              2                                                 1.1059079217520977                                9.289626542717604E-17
3.27                                              2                                                 1.1061420213935003                                9.291592979705434E-17
4.08                                              2                                                 1.10319612159842                                  9.266847421426741E-17
4.9                                               2                                                 1.1018802569505688                                9.255794158384793E-17
5.71                                              4                                                 0.984652479379666                                 8.271080826789209E-17
6.53                                              4                                                 0.9826519635015702                                8.254276493413196E-17
7.35                                              4                                                 0.9788441587488926                                8.222290933490692E-17
8.16                                              4                                                 0.9755557336210079                                8.194668162416475E-17
8.98                                              4                                                 0.9714038546171722                                8.159792378784236E-17
9.8                                               4                                                 0.9658769019647175                                8.11336597650364E-17
10.61                                             4                                                 0.9607467863295127                                8.070273005167881E-17
11.43                                             4                                                 0.9536929943495516                                8.011021152536247E-17
12.24                                             4                                                 0.9451890691878466                                7.93958818117789E-17
13.06                                             4                                                 0.9347447427424074                                7.851855839036225E-17
13.88                                             4                                                 0.9221802484821292                                7.74631408724988E-17
14.69                                             4                                                 0.9069383240993784                                7.61828192243478E-17
15.51                                             4                                                 0.8885037968760608                                7.463431893758891E-17
16.33                                             4                                                 0.8667278760989747                                7.280514159231375E-17
17.14                                             4                                                 0.8393921803439782                                7.050894314889406E-17
17.96                                             4                                                 0.8066207453174024                                6.775614260666173E-17
18.78                                             4                                                 0.7685631563321643                                6.455930513190184E-17
19.59                                             4                                                 0.726190881653428                                 6.100003405888776E-17
20.41                                             4                                                 0.6814122758032906                                5.723863116747654E-17
21.22                                             4                                                 0.6353446788150092                                5.336895302046075E-17
22.04                                             4                                                 0.5902236695718833                                4.957878824403812E-17
22.86                                             4                                                 0.5482731893521396                                4.605494790557982E-17
23.67                                             4                                                 0.5102830367834551                                4.2863775089810255E-17
24.49                                             4                                                 0.4758022955001356                                3.9967392822011333E-17
25.31                                             4                                                 0.445459015837836                                 3.741855733037818E-17
26.12                                             4                                                 0.41861278160964915                               3.5163473655210724E-17
26.94                                             4                                                 0.3942812276959242                                3.311962312645757E-17
27.76                                             4                                                 0.3722887709062772                                3.1272256756127303E-17
28.57                                             4                                                 0.35238759308285117                               2.9600557818959514E-17
29.39                                             4                                                 0.33437636503301643                               2.808761466277341E-17
30.2                                              4                                                 0.31816572640923524                               2.6725921018375764E-17
31.02                                             4                                                 0.30299757625068613                               2.54517964050577E-17
31.84                                             4                                                 0.28872282379182185                               2.425271719851302E-17
32.65                                             4                                                 0.27555173016222523                               2.3146345333626967E-17
33.47                                             4                                                 0.2631152289944091                                2.2101679235530373E-17
34.29                                             4                                                 0.2520978505714457                                2.1176219448001474E-17
35.1                                              4                                                 0.24140251124677095                               2.0277810944728708E-17
35.92                                             4                                                 0.23145044809035706                               1.9441837639589976E-17
36.73                                             4                                                 0.22214510493857975                               1.8660188814840706E-17
37.55                                             4                                                 0.21340629900896524                               1.7926129116753086E-17
38.37                                             4                                                 0.20465966873906685                               1.7191412174081618E-17
39.18                                             4                                                 0.19748736607681772                               1.6588938750452672E-17
40                                                4                                                 0.18952591157586357                               1.5920176572372604E-17
