% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 31 2020, 14:31
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*a) (mol/m^3), Integral 4
0                                                 -25                                               1.2798601187342302
61.21999999999999                                 -25                                               1.279987082797759
122.45                                            -25                                               1.2799441891720322
183.67                                            -25                                               1.2794734584124354
244.9                                             -25                                               1.2795457598846185
306.12                                            -25                                               1.2791709321938263
367.35                                            -25                                               1.2790112343462834
428.57                                            -25                                               1.2788477091715014
489.8                                             -25                                               1.2779115597244544
551.02                                            -25                                               1.2768366699378801
612.24                                            -25                                               1.2754580719583402
673.47                                            50                                                0.9596538027432681
734.6899999999999                                 50                                                0.832658307376411
795.9199999999998                                 50                                                0.6288546070722814
857.14                                            50                                                0.5020378212102704
918.37                                            50                                                0.4327934725693011
979.5899999999999                                 50                                                0.38574660765250335
1040.82                                           50                                                0.3489968506918375
1102.04                                           50                                                0.3197281904001013
1163.2699999999998                                50                                                0.2951080032037442
1224.4899999999998                                50                                                0.2739228199587982
1285.71                                           50                                                0.2554987115011019
1346.94                                           50                                                0.2396553147614654
1408.1599999999999                                50                                                0.22477562534457232
1469.39                                           50                                                0.2120547069124088
1530.61                                           50                                                0.199962307733629
1591.8399999999997                                50                                                0.18927098196173095
1653.06                                           50                                                0.17981215118507857
1714.2899999999997                                50                                                0.17058053817409508
1775.5099999999998                                50                                                0.1625847700190307
1836.7299999999998                                50                                                0.1549443637084008
1897.96                                           50                                                0.14755642223529641
1959.1799999999998                                50                                                0.1409885428775984
2020.4099999999999                                50                                                0.13508416707036713
2081.6299999999997                                50                                                0.12949065366892765
2142.86                                           50                                                0.12402152924531828
2204.08                                           50                                                0.11936501866107113
2265.31                                           50                                                0.1150173430666794
2326.53                                           50                                                0.11008090627134204
2387.76                                           50                                                0.10582445989156208
2448.9799999999996                                50                                                0.10145964143105417
2510.2                                            50                                                0.09766203717040807
2571.43                                           50                                                0.09398804678635306
2632.6499999999996                                50                                                0.09054230684609893
2693.88                                           50                                                0.08742017252454219
2755.1                                            50                                                0.08445454890606739
2816.3299999999995                                50                                                0.08151495403791534
2877.55                                           50                                                0.07868243854628792
2938.78                                           50                                                0.07605088477683442
2999.9999999999995                                50                                                0.07342903195660613
