% Model:              Pt_secm_disk_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 1 2020, 01:10
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*a) (mol/m^3), Integral 4
0                                                 -25                                               0.780438875960751
61.21999999999999                                 -25                                               0.7809404450456615
122.45                                            -25                                               0.7820992441442587
183.67                                            -25                                               0.7839616927846494
244.9                                             -25                                               0.7869594659153114
306.12                                            -25                                               0.7907859120032994
367.35                                            -25                                               0.7959828132672873
428.57                                            -25                                               0.8026884818612106
489.8                                             -25                                               0.8108470715249579
551.02                                            -25                                               0.820197107165944
612.24                                            -25                                               0.8159349071915143
673.47                                            50                                                1.0427419520193535
734.6899999999999                                 50                                                1.1793002352007833
795.9199999999998                                 50                                                1.274460814688409
857.14                                            50                                                1.281887047610016
918.37                                            50                                                1.2848671266382505
979.5899999999999                                 50                                                1.284880786050178
1040.82                                           50                                                1.2825709116879356
1102.04                                           50                                                1.2827378046476046
1163.2699999999998                                50                                                1.282943414458142
1224.4899999999998                                50                                                1.2827450623791066
1285.71                                           50                                                1.2829499102594544
1346.94                                           50                                                1.2849571764444268
1408.1599999999999                                50                                                1.2830522100835382
1469.39                                           50                                                1.2849484461107012
1530.61                                           50                                                1.283136524347229
1591.8399999999997                                50                                                1.283134045768453
1653.06                                           50                                                1.2850431829484341
1714.2899999999997                                50                                                1.283413597360056
1775.5099999999998                                50                                                1.2857192244929694
1836.7299999999998                                50                                                1.2854804389433037
1897.96                                           50                                                1.2834963935057397
1959.1799999999998                                50                                                1.2832559275286581
2020.4099999999999                                50                                                1.2855457695108372
2081.6299999999997                                50                                                1.2871277869929711
2142.86                                           50                                                1.2855002213482463
2204.08                                           50                                                1.2908367166243284
2265.31                                           50                                                1.2935278303391722
2326.53                                           50                                                1.2889898668201698
2387.76                                           50                                                1.289072884402243
2448.9799999999996                                50                                                1.2857496114287172
2510.2                                            50                                                1.2853082112826106
2571.43                                           50                                                1.2839150127383203
2632.6499999999996                                50                                                1.2842329350161812
2693.88                                           50                                                1.2856297517052218
2755.1                                            50                                                1.2864748239425783
2816.3299999999995                                50                                                1.2877896155319668
2877.55                                           50                                                1.2861451579581629
2938.78                                           50                                                1.2860926325607063
2999.9999999999995                                50                                                1.2851578859843729
