% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 14 2020, 09:31
% Table:              Table 1 - L = 1 (tds.ntflux_cP/(2*pi*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 7                    TotalFlux (mol/s), Integral 7
0                                                 -1                                                0.6294185082383085                                8.304981558362646E-17
0.82                                              -1                                                0.6296390488158699                                8.307891522727419E-17
1.63                                              -1                                                0.6302734575291972                                8.316262348490751E-17
2.45                                              -1                                                0.6312819547606421                                8.329569155963311E-17
3.27                                              -1                                                0.6327556136582105                                8.349013627022622E-17
4.08                                              -1                                                0.6346734282092775                                8.374318593861852E-17
4.9                                               -1                                                0.6370531477155563                                8.405718252999663E-17
5.71                                              0                                                 0.7537882475413515                                9.946001607520551E-17
6.53                                              0                                                 0.7579192587544409                                1.0000509016332124E-16
7.35                                              0                                                 0.7624545057976458                                1.0060350191263348E-16
8.16                                              0                                                 0.7678917129712672                                1.0132092449736674E-16
8.98                                              0.16967542544517156                               0.7867176360133071                                1.0380494652145532E-16
9.8                                               0.9869544062417472                                0.8383100091611634                                1.1061239978088334E-16
10.61                                             1                                                 0.8472085633632782                                1.1178653634625882E-16
11.43                                             1                                                 0.8568483619845026                                1.1305847780854052E-16
12.24                                             1                                                 0.8685680388929897                                1.1460485274542243E-16
13.06                                             1                                                 0.8807796199241446                                1.1621613290218264E-16
13.88                                             1                                                 0.8961760756916591                                1.182476473800656E-16
14.69                                             1                                                 0.9141560834556134                                1.206200535127802E-16
15.51                                             1                                                 0.9377094912852477                                1.2372785245897212E-16
16.33                                             1                                                 0.9710305374672524                                1.2812446092257582E-16
17.14                                             1                                                 1.0144848024161024                                1.3385811610285433E-16
17.96                                             1                                                 1.0816044303437842                                1.427143423632443E-16
18.78                                             1                                                 1.1812705260314558                                1.5586497387226898E-16
19.59                                             1                                                 1.3126708861777525                                1.732028429290839E-16
20.41                                             1                                                 1.4317416260831477                                1.889138569223437E-16
21.22                                             1                                                 1.4945740369720508                                1.9720439822149228E-16
22.04                                             1                                                 1.5187427400334037                                2.0039338346083448E-16
22.86                                             1                                                 1.5279079905581026                                2.0160270977693606E-16
23.67                                             1                                                 1.5305637511424572                                2.0195312913047978E-16
24.49                                             1                                                 1.5320935437448964                                2.0215498050893507E-16
25.31                                             1                                                 1.5329396762516438                                2.0226662506295578E-16
26.12                                             1                                                 1.5338144054831944                                2.0238204286591993E-16
26.94                                             1                                                 1.533450237345147                                 2.0233399201213937E-16
27.76                                             1                                                 1.5337073499750316                                2.0236791722440548E-16
28.57                                             1                                                 1.5336769060000102                                2.0236390023653823E-16
29.39                                             1                                                 1.5338935020657427                                2.023924794141121E-16
30.2                                              1                                                 1.5338772673804928                                2.0239033729785854E-16
31.02                                             1                                                 1.5346285792612544                                2.0248947056503566E-16
31.84                                             1                                                 1.5347074548111244                                2.0249987794865301E-16
32.65                                             1                                                 1.5338352833199744                                2.0238479763158424E-16
33.47                                             1                                                 1.5345019985832078                                2.024727686380501E-16
34.29                                             1                                                 1.5348722282732157                                2.025216192947699E-16
35.1                                              1                                                 1.5354161159603767                                2.0259338358438887E-16
35.92                                             1                                                 1.534755515818075                                 2.0250621944911984E-16
36.73                                             1                                                 1.5344757638560464                                2.0246930704735306E-16
37.55                                             1                                                 1.534476799080003                                 2.0246944364193625E-16
38.37                                             1                                                 1.5349331010731118                                2.0252965127148948E-16
39.18                                             1                                                 1.534773578937253                                 2.0250860282154505E-16
40                                                1                                                 1.5349506049285393                                2.0253196085080202E-16
