% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 09:42
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*a) (mol/m^3), Integral 6
0                                                 25                                                0.9121157830398556
61.21999999999999                                 25                                                0.9124764123110916
122.45                                            25                                                0.9140907667028821
183.67                                            25                                                0.9169631331459254
244.9                                             25                                                0.9205453464222746
306.12                                            25                                                0.9258003965206518
367.35                                            25                                                0.9330262510830948
428.57                                            25                                                0.9420746059981777
489.8                                             25                                                0.9543959239216493
551.02                                            25                                                0.9713737592165446
612.24                                            25                                                0.9977394796615283
673.47                                            75                                                1.0769047901160338
734.6899999999999                                 94.93097111131318                                 1.119876534613256
795.9199999999998                                 100                                               1.1459847906808998
857.14                                            100                                               1.1580050025197974
918.37                                            100                                               1.1618518750365068
979.5899999999999                                 100                                               1.163321296170929
1040.82                                           100                                               1.1640936564699667
1102.04                                           100                                               1.1644898750987525
1163.2699999999998                                100                                               1.1647438383363746
1224.4899999999998                                100                                               1.164911194678377
1285.71                                           100                                               1.1650990224310531
1346.94                                           100                                               1.1651702316850683
1408.1599999999999                                100                                               1.1652102738286707
1469.39                                           100                                               1.1653306067317803
1530.61                                           100                                               1.1655016712142154
1591.8399999999997                                100                                               1.1655137309278627
1653.06                                           100                                               1.165520347279839
1714.2899999999997                                100                                               1.1655336307357178
1775.5099999999998                                100                                               1.1659413445456615
1836.7299999999998                                100                                               1.1655885482755532
1897.96                                           100                                               1.1655698567506598
1959.1799999999998                                100                                               1.1655676515117432
2020.4099999999999                                100                                               1.1658949037126012
2081.6299999999997                                100                                               1.165790922870287
2142.86                                           100                                               1.1659207402373566
2204.08                                           100                                               1.1659859514007478
2265.31                                           100                                               1.166144985526027
2326.53                                           100                                               1.1660784769233514
2387.76                                           100                                               1.1660299552436626
2448.9799999999996                                100                                               1.1659690323080425
2510.2                                            100                                               1.165824898650971
2571.43                                           100                                               1.165790148008091
2632.6499999999996                                100                                               1.1659179483571838
2693.88                                           100                                               1.165886517788616
2755.1                                            100                                               1.165963659047192
2816.3299999999995                                100                                               1.1660260718764164
2877.55                                           100                                               1.1658048871819102
2938.78                                           100                                               1.1657854815880455
2999.9999999999995                                100                                               1.1656559214958082
