% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 15 2020, 13:18
% Table:              Table 2 - L = 2 (tds.ntflux_cP/(2*pi*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 4                    TotalFlux (mol/s), Integral 4
0                                                 0                                                 1.2824245265020207                                1.69211929792169E-16
0.82                                              0                                                 1.2825674222526386                                1.6923078444226454E-16
1.63                                              0                                                 1.283277884728695                                 1.6932452775747227E-16
2.45                                              0                                                 1.2822329427149843                                1.6918665090701704E-16
3.27                                              0                                                 1.2820800744168537                                1.6916648041027723E-16
4.08                                              0                                                 1.2821132121906456                                1.6917085283651918E-16
4.9                                               0                                                 1.2812241970993363                                1.6905355005876785E-16
5.71                                              1                                                 1.160696603958739                                 1.5315030880982258E-16
6.53                                              1                                                 1.1593798827860833                                1.5297657154418341E-16
7.35                                              1                                                 1.1578843267303969                                1.5277923757164482E-16
8.16                                              1                                                 1.1560708064410012                                1.5253994920687636E-16
8.98                                              1.1696754254451716                                1.1382488048263657                                1.5018839149439433E-16
9.8                                               1.9869544062417472                                1.0664065049931915                                1.407090233567332E-16
10.61                                             2                                                 1.0607227500642655                                1.3995906956209309E-16
11.43                                             2                                                 1.055011859593984                                 1.3920553531712417E-16
12.24                                             2                                                 1.0481024218522013                                1.382938564854224E-16
13.06                                             2                                                 1.0392958710947908                                1.3713185948857887E-16
13.88                                             2                                                 1.0283105100701586                                1.356823752499144E-16
14.69                                             2                                                 1.0143954760431093                                1.338463297656136E-16
15.51                                             2                                                 0.9959266408562123                                1.3140942437398548E-16
16.33                                             2                                                 0.9716148624381082                                1.282015607860767E-16
17.14                                             2                                                 0.939971081949105                                 1.2402626231680263E-16
17.96                                             2                                                 0.8976120592981451                                1.1843712095311566E-16
18.78                                             2                                                 0.8435399610414188                                1.113024756739201E-16
19.59                                             2                                                 0.7792916629905848                                1.028251124651097E-16
20.41                                             2                                                 0.7077229274522472                                9.338184028576355E-17
21.22                                             2                                                 0.6383924765445967                                8.423390280561857E-17
22.04                                             2                                                 0.5751460972057746                                7.588873965634515E-17
22.86                                             2                                                 0.5212805228314921                                6.878134456144791E-17
23.67                                             2                                                 0.4764083450087557                                6.286060018511197E-17
24.49                                             2                                                 0.43844629279566455                               5.785162540250275E-17
25.31                                             2                                                 0.40628839705247705                               5.3608491023591174E-17
26.12                                             2                                                 0.3790437292036591                                5.001364179233059E-17
26.94                                             2                                                 0.3551179191193145                                4.6856705526260056E-17
27.76                                             2                                                 0.3340683830514893                                4.407928467562956E-17
28.57                                             2                                                 0.31552065950723607                               4.163197021047692E-17
29.39                                             2                                                 0.29884386856053624                               3.943151948568591E-17
30.2                                              2                                                 0.28336395398979886                               3.738899287815337E-17
31.02                                             2                                                 0.26931341751374327                               3.553506826692211E-17
31.84                                             2                                                 0.256362916256497                                 3.3826289883299346E-17
32.65                                             2                                                 0.2447619738558571                                3.229558159563536E-17
33.47                                             2                                                 0.2334902294832404                                3.080830996444086E-17
34.29                                             2                                                 0.22310480054981818                               2.9437984900292884E-17
35.1                                              2                                                 0.21357363799983697                               2.8180377629910744E-17
35.92                                             2                                                 0.20449940512926865                               2.6983060810338975E-17
36.73                                             2                                                 0.19609435522309548                               2.5874040602730834E-17
37.55                                             2                                                 0.1880994588493572                                2.4819138878744993E-17
38.37                                             2                                                 0.18056263236803682                               2.3824678053130895E-17
39.18                                             2                                                 0.17351537333204886                               2.2894814130083957E-17
40                                                2                                                 0.16678297504722558                               2.2006495104392905E-17
