% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 10:05
% Table:              Table 16 - L = 25 (kfore*cR, n*F*kfore*cR, tds.ntflux_cP/(2.4*4*D*Rbase))
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*a) (mol/m^3), Integral 7
0                                                 -50                                               1.533424724695137
61.21999999999999                                 -50                                               1.5334006080873863
122.45                                            -50                                               1.5331624162638942
183.67                                            -50                                               1.5328801936327707
244.9                                             -50                                               1.5321343363353261
306.12                                            -50                                               1.5316526209197387
367.35                                            -50                                               1.531845013545997
428.57                                            -50                                               1.53101184802772
489.8                                             -50                                               1.5303374871164273
551.02                                            -50                                               1.529094943359267
612.24                                            -50                                               1.5274653005793741
673.47                                            0                                                 1.1017978825479477
734.6899999999999                                 19.930971111313198                                0.8471092014582887
795.9199999999998                                 25                                                0.5859551609026797
857.14                                            25                                                0.4537985403193034
918.37                                            25                                                0.38738474474820167
979.5899999999999                                 25                                                0.3442970559887416
1040.82                                           25                                                0.3116571212480626
1102.04                                           25                                                0.2852510666287156
1163.2699999999998                                25                                                0.2630869071753604
1224.4899999999998                                25                                                0.24412998579136885
1285.71                                           25                                                0.22760883828758535
1346.94                                           25                                                0.21304795826218753
1408.1599999999999                                25                                                0.2001504250583313
1469.39                                           25                                                0.18847211312450277
1530.61                                           25                                                0.17795207171327543
1591.8399999999997                                25                                                0.1684797583365719
1653.06                                           25                                                0.15970454819607824
1714.2899999999997                                25                                                0.15176805625638018
1775.5099999999998                                25                                                0.14435953230269294
1836.7299999999998                                25                                                0.13761488107938064
1897.96                                           25                                                0.13121463271965386
1959.1799999999998                                25                                                0.12539280829455896
2020.4099999999999                                25                                                0.11988989646003904
2081.6299999999997                                25                                                0.11496293884178937
2142.86                                           25                                                0.11027301749463944
2204.08                                           25                                                0.10607104406011728
2265.31                                           25                                                0.10283666719592423
2326.53                                           25                                                0.09805255503264723
2387.76                                           25                                                0.09397870645647413
2448.9799999999996                                25                                                0.09020164291222356
2510.2                                            25                                                0.08689716626819916
2571.43                                           25                                                0.08362979361473644
2632.6499999999996                                25                                                0.0805782751562703
2693.88                                           25                                                0.07774050688063991
2755.1                                            25                                                0.07498653398578256
2816.3299999999995                                25                                                0.07247767439609319
2877.55                                           25                                                0.06991058237640009
2938.78                                           25                                                0.06744498473310827
2999.9999999999995                                25                                                0.06520187331598688
