% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 13:53
% Table:              Table 16 - L = 25 (kfore*cR, n*F*kfore*cR, tds.ntflux_cP/(2.4*4*D*Rbase))
% Xa (nm)                L (nm)                   tds.ntflux_cP/(2*pi*D*a) (mol/m^3), Integral 7
0                        -50                      0.7005375374827905
61.21999999999999        -50                      0.7009451492037502
122.45                   -50                      0.7017910553384423
183.67                   -50                      0.7036915516570563
244.9                    -50                      0.7064302455163951
306.12                   -50                      0.7102626159601612
367.35                   -50                      0.7154039381799461
428.57                   -50                      0.7221190196526361
489.8                    -50                      0.7307131955214141
551.02                   -50                      0.7400774899655438
612.24                   -50                      0.7342525176011834
673.47                   0                        1.018004484021055
734.6899999999999        19.930971111313198       1.3506183718859526
795.9199999999998        25                       1.5236216769087787
857.14                   25                       1.5351400616217101
918.37                   25                       1.5358888023012727
979.5899999999999        25                       1.536104615193351
1040.82                  25                       1.536322557175554
1102.04                  25                       1.5364769630992863
1163.2699999999998       25                       1.5366087819186593
1224.4899999999998       25                       1.536615690141482
1285.71                  25                       1.5365601239031055
1346.94                  25                       1.5367948576279404
1408.1599999999999       25                       1.5373158778546625
1469.39                  25                       1.5371768823943381
1530.61                  25                       1.5370104027924316
1591.8399999999997       25                       1.5378437987842668
1653.06                  25                       1.5374205689177947
1714.2899999999997       25                       1.5382796758792745
1775.5099999999998       25                       1.537523619020137
1836.7299999999998       25                       1.5388003987318415
1897.96                  25                       1.5371068742482752
1959.1799999999998       25                       1.5378805694195692
2020.4099999999999       25                       1.537861457548023
2081.6299999999997       25                       1.540477398519066
2142.86                  25                       1.5432230341960507
2204.08                  25                       1.5487537775476556
2265.31                  25                       1.5686423063119865
2326.53                  25                       1.5547316676351146
2387.76                  25                       1.5494095485389718
2448.9799999999996       25                       1.5426357584773411
2510.2                   25                       1.5435134109721425
2571.43                  25                       1.541948192201744
2632.6499999999996       25                       1.5427765842378527
2693.88                  25                       1.544379875533009
2755.1                   25                       1.5434337286849182
2816.3299999999995       25                       1.5474231424616214
2877.55                  25                       1.5444519949903217
2938.78                  25                       1.5404950173790133
2999.9999999999995       25                       1.542884245444951
