% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 2 2020, 22:30
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*a) (mol/m^3), Integral 4
0                                                 -25                                               1.2921556369312102
61.21999999999999                                 -25                                               1.2921579781795167
122.45                                            -25                                               1.291984096485091
183.67                                            -25                                               1.291599513647647
244.9                                             -25                                               1.2909780657512548
306.12                                            -25                                               1.2901284014345848
367.35                                            -25                                               1.289109814944759
428.57                                            -25                                               1.2874715883449044
489.8                                             -25                                               1.285226962786348
551.02                                            -25                                               1.2807573681419786
612.24                                            -25                                               1.2733685843279088
673.47                                            25                                                1.0055583504753263
734.6899999999999                                 44.93097111131319                                 0.8187852063777987
795.9199999999998                                 50                                                0.6440820008869729
857.14                                            50                                                0.5257666217947848
918.37                                            50                                                0.45314654869196497
979.5899999999999                                 50                                                0.40320735980364764
1040.82                                           50                                                0.36499100565578924
1102.04                                           50                                                0.3340541838969655
1163.2699999999998                                50                                                0.308101882350741
1224.4899999999998                                50                                                0.28588994263588835
1285.71                                           50                                                0.26656937244551715
1346.94                                           50                                                0.24951583033398497
1408.1599999999999                                50                                                0.2345676567566824
1469.39                                           50                                                0.22074763760350172
1530.61                                           50                                                0.20839337733103844
1591.8399999999997                                50                                                0.19727032434396014
1653.06                                           50                                                0.18705221754437765
1714.2899999999997                                50                                                0.17788725939983402
1775.5099999999998                                50                                                0.16906021006081318
1836.7299999999998                                50                                                0.16113290025783308
1897.96                                           50                                                0.15372146470862802
1959.1799999999998                                50                                                0.14686774847674053
2020.4099999999999                                50                                                0.14046543271520268
2081.6299999999997                                50                                                0.13456951202722992
2142.86                                           50                                                0.12898491967370873
2204.08                                           50                                                0.12381036846052877
2265.31                                           50                                                0.11895755625408196
2326.53                                           50                                                0.11420067264678227
2387.76                                           50                                                0.10974698653272934
2448.9799999999996                                50                                                0.10552074446477844
2510.2                                            50                                                0.10158441094147774
2571.43                                           50                                                0.09786674691315679
2632.6499999999996                                50                                                0.09430538764981813
2693.88                                           50                                                0.09096918098081613
2755.1                                            50                                                0.0877655037631258
2816.3299999999995                                50                                                0.08475433821958608
2877.55                                           50                                                0.08179864837246517
2938.78                                           50                                                0.0790304213646898
2999.9999999999995                                50                                                0.07633466320629886
