% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 2 2020, 07:37
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*a) (mol/m^3), Integral 4
0                                                 -25                                               0.8179612750590609
61.21999999999999                                 -25                                               0.8184903749750835
122.45                                            -25                                               0.819873076592717
183.67                                            -25                                               0.8222640199629103
244.9                                             -25                                               0.8257281395490899
306.12                                            -25                                               0.8304465627116262
367.35                                            -25                                               0.8366675094957748
428.57                                            -25                                               0.8450130959166895
489.8                                             -25                                               0.8561681223277473
551.02                                            -25                                               0.8685066861740248
612.24                                            -25                                               0.8743330920814469
673.47                                            25                                                1.0659406198044135
734.6899999999999                                 44.93097111131319                                 1.2153488619754114
795.9199999999998                                 50                                                1.287432400665906
857.14                                            50                                                1.3014721311432424
918.37                                            50                                                1.3033149761115241
979.5899999999999                                 50                                                1.3038433626157049
1040.82                                           50                                                1.304150261023624
1102.04                                           50                                                1.3042991996869742
1163.2699999999998                                50                                                1.3043670601996922
1224.4899999999998                                50                                                1.3044220802928836
1285.71                                           50                                                1.304573977083062
1346.94                                           50                                                1.3045144217824896
1408.1599999999999                                50                                                1.305310060605505
1469.39                                           50                                                1.3048030966405832
1530.61                                           50                                                1.3045413672244666
1591.8399999999997                                50                                                1.3049956630848019
1653.06                                           50                                                1.3048594138557756
1714.2899999999997                                50                                                1.3054124788478332
1775.5099999999998                                50                                                1.3049309785227368
1836.7299999999998                                50                                                1.3051339297718945
1897.96                                           50                                                1.304829466738787
1959.1799999999998                                50                                                1.3050331024979065
2020.4099999999999                                50                                                1.30508338460138
2081.6299999999997                                50                                                1.3061413454562982
2142.86                                           50                                                1.3063252941208703
2204.08                                           50                                                1.3069038835206177
2265.31                                           50                                                1.3087101566310808
2326.53                                           50                                                1.3076622347354112
2387.76                                           50                                                1.3076316447239122
2448.9799999999996                                50                                                1.3061251243864873
2510.2                                            50                                                1.3062422639740265
2571.43                                           50                                                1.306081920760639
2632.6499999999996                                50                                                1.306013598024067
2693.88                                           50                                                1.3064304475019108
2755.1                                            50                                                1.3065039003732182
2816.3299999999995                                50                                                1.3066713415640938
2877.55                                           50                                                1.3062164458426686
2938.78                                           50                                                1.3062873852986623
2999.9999999999995                                50                                                1.3054778397059703
