% Model:              Pt_secm_ele_HOPG_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 30 2020, 18:59
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            kfore*cR (mol/s), Integral 4                      n*F*kfore*cR (pA), Integral 4                     tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 4
0                                                 -25                                               1.7270493969353286E-12                            166634.36106330474                                1.1729895981958678
61.21999999999999                                 -25                                               1.7270673301409708E-12                            166636.09134865168                                1.1724021893607335
122.45                                            -25                                               1.7270754982824889E-12                            166636.87945178602                                1.170525470044588
183.67                                            -25                                               1.7270657952062083E-12                            166635.94325047117                                1.1673681449664948
244.9                                             -25                                               1.7270700826105264E-12                            166636.35692067607                                1.1624702451088245
306.12                                            -25                                               1.7270705070296378E-12                            166636.39787075474                                1.155325422192323
367.35                                            -25                                               1.7270819618031878E-12                            166637.50308458053                                1.1450013997335746
428.57                                            -25                                               1.7270897202149269E-12                            166638.25165493798                                1.1301130604303704
489.8                                             -25                                               1.7271041214125681E-12                            166639.64115449192                                1.1077933721417421
551.02                                            -25                                               1.7271289685809283E-12                            166642.03853353127                                1.0733125959356915
612.24                                            -25                                               1.7271619663568742E-12                            166645.22232394252                                1.017730943291942
673.47                                            -25                                               1.727210912721182E-12                             166649.94491390366                                0.925202984535455
734.6899999999999                                 43.284431999999946                                1.7273803748319208E-12                            166666.29546565824                                0.660179279185204
795.9199999999998                                 50                                                1.7274509549668658E-12                            166673.10538997757                                0.5607767874851457
857.14                                            50                                                1.727501047383559E-12                             166677.93855680167                                0.483307293414055
918.37                                            50                                                1.727539135957094E-12                             166681.6135328195                                 0.42293356313451547
979.5899999999999                                 50                                                1.7275702812268006E-12                            166684.61858416777                                0.37556268084774835
1040.82                                           50                                                1.7275981432089883E-12                            166687.306847519                                  0.33775359940361716
1102.04                                           50                                                1.7276133431350032E-12                            166688.7734123803                                 0.30699009066329397
1163.2699999999998                                50                                                1.727625295461605E-12                             166689.9266326132                                 0.28131750720998894
1224.4899999999998                                50                                                1.7276465761358856E-12                            166691.979898471                                  0.25969830697545815
1285.71                                           50                                                1.7276582070674773E-12                            166693.1021089057                                 0.24104282847900654
1346.94                                           50                                                1.7276694930268276E-12                            166694.1910346934                                 0.22476482413239907
1408.1599999999999                                50                                                1.7276770162366358E-12                            166694.91691159282                                0.21045843070624953
1469.39                                           50                                                1.7276845630979364E-12                            166695.64507050478                                0.19771216224795546
1530.61                                           50                                                1.7276873990144719E-12                            166695.91869391076                                0.18625440321355102
1591.8399999999997                                50                                                1.7276969661720469E-12                            166696.84178111015                                0.17593894697494264
1653.06                                           50                                                1.727705017272556E-12                             166697.6185915427                                 0.16654966347306355
1714.2899999999997                                50                                                1.7277107588210302E-12                            166698.17256484748                                0.15798512975451878
1775.5099999999998                                50                                                1.727714523523832E-12                             166698.53580219785                                0.15009704517055925
1836.7299999999998                                50                                                1.7277193650342854E-12                            166699.00293533283                                0.14290209071320537
1897.96                                           50                                                1.7277220959762539E-12                            166699.26643026882                                0.13619391037745965
1959.1799999999998                                50                                                1.7277273582331856E-12                            166699.7741591284                                 0.12998207697046132
2020.4099999999999                                50                                                1.7277280140538616E-12                            166699.8374359865                                 0.12421870094435589
2081.6299999999997                                50                                                1.7277349809444252E-12                            166700.50963642215                                0.11882933461386837
2142.86                                           50                                                1.7277363938905413E-12                            166700.64596452942                                0.11381156199002535
2204.08                                           50                                                1.7277409770798281E-12                            166701.08817354636                                0.1091076571922102
2265.31                                           50                                                1.7277416508683646E-12                            166701.15318403416                                0.10468376699436822
2326.53                                           50                                                1.727745023835225E-12                             166701.4786247421                                 0.10054745633368944
2387.76                                           50                                                1.727746874233031E-12                             166701.65716037506                                0.09658412759234049
2448.9799999999996                                50                                                1.7277490675406279E-12                            166701.86878165734                                0.09288359692878222
2510.2                                            50                                                1.7277486404467738E-12                            166701.82757350677                                0.08947254777424418
2571.43                                           50                                                1.7277530398141597E-12                            166702.25204646922                                0.0860522452755238
2632.6499999999996                                50                                                1.7277543965351148E-12                            166702.38294969086                                0.08294280864621216
2693.88                                           50                                                1.7277580989199237E-12                            166702.74017428898                                0.0800362938374997
2755.1                                            50                                                1.727759023152319E-12                             166702.82934885137                                0.07714191321918769
2816.3299999999995                                50                                                1.7277587236843918E-12                            166702.80045468936                                0.07443198343797619
2877.55                                           50                                                1.7277617702835233E-12                            166703.09440580552                                0.07186782102047655
2938.78                                           50                                                1.7277580772292388E-12                            166702.7380814635                                 0.06941509606113827
2999.9999999999995                                50                                                1.7277638425906208E-12                            166703.29435235562                                0.06706608571571643
