% Model:              Pt_secm_ele_HOPG_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 29 2020, 21:07
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            kfore*cR (mol/s), Integral 4                      n*F*kfore*cR (pA), Integral 4                     tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 4
0                                                 -25                                               1.727306189683019E-12                             166659.13771156626                                0.7679872240281193
61.21999999999999                                 -25                                               1.7273231209411493E-12                            166660.7713240076                                 0.768955663411953
122.45                                            -25                                               1.727321819545958E-12                             166660.64575889206                                0.7717574402957839
183.67                                            -25                                               1.7273143509052188E-12                            166659.92514708932                                0.7767172892015659
244.9                                             -25                                               1.727307935750304E-12                             166659.3061808677                                 0.7842720050849786
306.12                                            -25                                               1.7273000494575284E-12                            166658.54527191096                                0.7948895518022215
367.35                                            -25                                               1.7272959348761692E-12                            166658.14827652738                                0.8101397445402398
428.57                                            -25                                               1.7272859421453032E-12                            166657.18412788925                                0.8311971559013926
489.8                                             -25                                               1.7272677817304085E-12                            166655.43192025842                                0.862175553955171
551.02                                            -25                                               1.7272374904778387E-12                            166652.50926875512                                0.9088721247678803
612.24                                            -25                                               1.7271940535134896E-12                            166648.3182532486                                 0.9818824125717984
673.47                                            -25                                               1.7271051716543837E-12                            166639.74248707428                                1.1084285620367134
734.6899999999999                                 43.284431999999946                                1.7270812477120565E-12                            166637.43418549778                                1.1581761599992377
795.9199999999998                                 50                                                1.7270523809303573E-12                            166634.648974066                                  1.20864420683903
857.14                                            50                                                1.7270342888784385E-12                            166632.9033624363                                 1.238426012882939
918.37                                            50                                                1.7270248547944778E-12                            166631.99311484522                                1.2513112112002245
979.5899999999999                                 50                                                1.7270242322516556E-12                            166631.93304880048                                1.257385341835645
1040.82                                           50                                                1.7270258939442253E-12                            166632.09337720962                                1.2603751379979333
1102.04                                           50                                                1.7270165428510462E-12                            166631.1911369836                                 1.2621596512015318
1163.2699999999998                                50                                                1.7269962498062473E-12                            166629.23316255608                                1.263182135805565
1224.4899999999998                                50                                                1.7270011901092056E-12                            166629.70982768666                                1.2638844864870107
1285.71                                           50                                                1.7269836562226583E-12                            166628.0180706438                                 1.2642568240403507
1346.94                                           50                                                1.7270052689152114E-12                            166630.10337128423                                1.264617393047478
1408.1599999999999                                50                                                1.7270147263627512E-12                            166631.01587310995                                1.2650131172079833
1469.39                                           50                                                1.7270203155731842E-12                            166631.55514807894                                1.2651873419954751
1530.61                                           50                                                1.7270168258573378E-12                            166631.21844284493                                1.265407969054908
1591.8399999999997                                50                                                1.727023676620984E-12                             166631.87943877556                                1.2654282547634959
1653.06                                           50                                                1.7270272461790112E-12                            166632.2238475821                                 1.2655032754735225
1714.2899999999997                                50                                                1.7270155968118162E-12                            166631.099858389                                  1.2657222370552639
1775.5099999999998                                50                                                1.7270057976063228E-12                            166630.1543820469                                 1.2656952389990592
1836.7299999999998                                50                                                1.7270048702053481E-12                            166630.0649017628                                 1.2656777991982064
1897.96                                           50                                                1.727005285888977E-12                             166630.1050089978                                 1.2657131056644824
1959.1799999999998                                50                                                1.7270221393105758E-12                            166631.73111138062                                1.2658411052338845
2020.4099999999999                                50                                                1.7270098350219917E-12                            166630.5439320975                                 1.2657255380617727
2081.6299999999997                                50                                                1.7270185349802015E-12                            166631.38334756478                                1.2657172120318485
2142.86                                           50                                                1.7270110391084855E-12                            166630.66010838156                                1.265795385485744
2204.08                                           50                                                1.7270127476813383E-12                            166630.82496003297                                1.266073766973127
2265.31                                           50                                                1.7270069749699527E-12                            166630.26797997626                                1.2660365602746502
2326.53                                           50                                                1.7270013060668417E-12                            166629.72101585893                                1.2669540379366606
2387.76                                           50                                                1.727019052086413E-12                             166631.43324055706                                1.2661859746965338
2448.9799999999996                                50                                                1.7270169271832668E-12                            166631.22821927772                                1.265980385482366
2510.2                                            50                                                1.727008146207503E-12                             166630.38098683214                                1.266533259441815
2571.43                                           50                                                1.7270154304116309E-12                            166631.0838032657                                 1.2656418633729232
2632.6499999999996                                50                                                1.7270158351199444E-12                            166631.12285154784                                1.2660441127927722
2693.88                                           50                                                1.7270121378074203E-12                            166630.76611634833                                1.2668870770985232
2755.1                                            50                                                1.7270053658575803E-12                            166630.11272476838                                1.2670957351333967
2816.3299999999995                                50                                                1.7269975929148465E-12                            166629.3627523888                                 1.2668412786828769
2877.55                                           50                                                1.7269957962544563E-12                            166629.18940161186                                1.266917737262908
2938.78                                           50                                                1.7269997091706934E-12                            166629.56693933392                                1.2669526865628045
2999.9999999999995                                50                                                1.7270161036313243E-12                            166631.1487588684                                 1.2664115155266396
