% Model:              Pt_secm_ele_HOPG_k0H.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 22 2020, 14:38
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (m)                                          L (nm)                                            kfore*cR (mol/s), Integral 4                      n*F*kfore*cR (pA), Integral 4                     tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 4
-2.7500000000000007E-7                            50                                                1.7257567637859513E-12                            166509.6413538876                                 0.14465502715986617
-2.5000000000000004E-7                            50                                                1.7257493944560201E-12                            166508.93032408901                                0.1576829078513193
-2.2500000000000007E-7                            50                                                1.7257374348562972E-12                            166507.77640210988                                0.1726639093554283
-2.0000000000000004E-7                            50                                                1.7257290540745346E-12                            166506.96778238157                                0.18963169662717616
-1.7500000000000005E-7                            50                                                1.7257451830118033E-12                            166508.5239828934                                 0.2096141110622196
-1.5000000000000005E-7                            50                                                1.7256996591835876E-12                            166504.13161632814                                0.2331820823505578
-1.2500000000000002E-7                            50                                                1.7256863447020744E-12                            166502.84696857943                                0.26171263308936127
-1.0000000000000002E-7                            50                                                1.725655615672585E-12                             166499.8820781691                                 0.2991723486039111
-7.500000000000002E-8                             68.122                                            1.7256569580684584E-12                            166500.0115992351                                 0.3057174421088689
-5.0000000000000024E-8                            87.8605                                           1.7255850129611759E-12                            166493.06997555963                                0.29110345644918456
-2.5000000000000025E-8                            97.15689999999998                                 1.7256408263199217E-12                            166498.45512747782                                0.2861677786692325
0                                                 100                                               1.7256688046903669E-12                            166501.1546205507                                 0.28394727950819054
2.5000000000000025E-8                             97.15689999999998                                 1.7256927372233281E-12                            166503.46375099325                                0.2860729650903784
5.0E-8                                            87.8605                                           1.7256668693589276E-12                            166500.96789009645                                0.29130433497512637
7.500000000000002E-8                              68.122                                            1.7257445245521765E-12                            166508.4604514173                                 0.3055912194698587
1.0E-7                                            50                                                1.7256951561356502E-12                            166503.69713974837                                0.29909975354117324
1.2500000000000002E-7                             50                                                1.7257119530859205E-12                            166505.31779349563                                0.26210874979764504
1.5000000000000005E-7                             50                                                1.7256958800634705E-12                            166503.7669879241                                 0.2331550126627039
1.7500000000000002E-7                             50                                                1.7257431378949655E-12                            166508.3266597958                                 0.2096665157621102
2.0000000000000004E-7                             50                                                1.7257404974990796E-12                            166508.07190119856                                0.18963304376519205
2.2500000000000002E-7                             50                                                1.725733873559408E-12                             166507.43279037948                                0.17245824740822335
2.500000000000001E-7                              50                                                1.7257537519835237E-12                            166509.35076013068                                0.1577134661371758
2.7500000000000007E-7                             50                                                1.7257382179931684E-12                            166507.85196307112                                0.14492101887375208
