% Model:              Pt_secm_ele_HOPG_k0H.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 22 2020, 11:46
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (m)                                          L (nm)                                            k0H (cm/s)                                        kback*cP (mol/s), Integral 7                      n*F*kback*cP (pA), Integral 7                     -(nx*cPx+ny*cPy+nz*cPz)*n*F*D (pA), Integral 7    tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 7
-2.7500000000000007E-7                            25                                                0                                                 1.0292679736064499E-16                            9.930892043341833                                 8.83354426185236                                  0.14587091989198317
-2.5000000000000004E-7                            25                                                0                                                 1.1291387407343616E-16                            10.894495139975472                                9.641742329800561                                 0.160024868888212
-2.2500000000000007E-7                            25                                                0                                                 1.2460034055804645E-16                            12.022063858743103                                10.6541841136406                                  0.17658709452966873
-2.0000000000000004E-7                            25                                                0                                                 1.383109825945327E-16                             13.344935155633483                                11.860007460274803                                0.19601831064202907
-1.7500000000000005E-7                            25                                                0                                                 1.548512860521217E-16                             14.940826334738967                                13.191368857115284                                0.2194598282385819
-1.5000000000000005E-7                            25                                                0                                                 1.749999936183218E-16                             16.88487438426374                                 14.953936858505402                                0.24801516478351587
-1.2500000000000002E-7                            25                                                0                                                 2.0151177313687871E-16                            19.442863431111782                                17.205359432080282                                0.2855883898098189
-1.0000000000000002E-7                            25                                                0                                                 2.4049335490787646E-16                            23.204001348286393                                20.43501888241964                                 0.3408348903708516
-7.500000000000002E-8                             43.12199999999999                                 0                                                 2.6134211803363254E-16                            25.215594258474997                                22.43623357500796                                 0.37038279292329374
-5.0000000000000024E-8                            62.8605                                           0                                                 2.5529905804343173E-16                            24.632529615320507                                21.81664754831823                                 0.3618179334045539
-2.5000000000000025E-8                            72.1569                                           0                                                 2.5534932646094833E-16                            24.63737976358453                                 21.50246330806026                                 0.3618894348172356
0                                                 75                                                0                                                 2.552287178165212E-16                             24.625742838526957                                21.584011644035677                                0.361718739661585
2.5000000000000025E-8                             72.1569                                           0                                                 2.5450699780892026E-16                            24.556107683593726                                21.6376957385349                                  0.36069568655417333
5.0E-8                                            62.8605                                           0                                                 2.5547561091290205E-16                            24.649564318931322                                21.875284837012792                                0.36206842787723953
7.500000000000002E-8                              43.12199999999999                                 0                                                 2.6127236789348847E-16                            25.208864416203266                                22.41426238728835                                 0.37028366479190344
1.0E-7                                            25                                                0                                                 2.400482834746808E-16                             23.161058631054548                                20.669288415243145                                0.34020386725335156
1.2500000000000002E-7                             25                                                0                                                 2.0141966830429762E-16                            19.433976696340196                                17.178074876207916                                0.2854580337520944
1.5000000000000005E-7                             25                                                0                                                 1.75256449923877E-16                              16.909618570905238                                15.014635197190382                                0.24837851738606856
1.7500000000000002E-7                             25                                                0                                                 1.5487768122647722E-16                            14.943373073136652                                13.207380029760445                                0.21949713659237882
2.0000000000000004E-7                             25                                                0                                                 1.3842992452805203E-16                            13.356411268089099                                11.856907411510319                                0.1961869445121587
2.2500000000000002E-7                             25                                                0                                                 1.246510293642302E-16                             12.026954568207756                                10.631904972736912                                0.17665912918333507
2.500000000000001E-7                              25                                                0                                                 1.1292019443606095E-16                            10.89510496016337                                 9.666003345698101                                 0.16003379040158303
2.7500000000000007E-7                             25                                                0                                                 1.0297003525252686E-16                            9.935063851340036                                 8.811172321614938                                 0.14593215820352706
