% Model:              Pt_secm_Bruker_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 4 2020, 17:25
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            kfore*cR (mol/s), Integral 4                      n*F*kfore*cR (pA), Integral 4                     tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 4
0                                                 100                                               1.7256688046903669E-12                            166501.1546205507                                 0.2839472795081906
4.079999999999999                                 99.88894177380263                                 1.7255319086048688E-12                            166487.94620174117                                0.28518235561524835
8.159999999999998                                 99.55477449499796                                 1.725634380498198E-12                             166497.8332023687                                 0.28554878232120817
12.239999999999998                                98.99447546945649                                 1.7256771514263663E-12                            166501.95995537293                                0.285953012460862
16.329999999999995                                98.20062226511466                                 1.7257064579045346E-12                            166504.7875909186                                 0.28667240367976743
20.41                                             97.16946653537074                                 1.7255902697836107E-12                            166493.57718007173                                0.2878496805378701
24.49                                             95.888926497726                                   1.7256926322527943E-12                            166503.45362291083                                0.289010021548277
28.57                                             94.34518800897433                                 1.725608585478593E-12                             166495.3443699021                                 0.2901161613575849
32.64999999999999                                 92.52020068098139                                 1.725720562562555E-12                             166506.1484788485                                 0.2922590276369913
36.73                                             90.3904205522491                                  1.7256415975715112E-12                            166498.5295416875                                 0.29542366493725225
40.82                                             87.91842019631451                                 1.7256949330607653E-12                            166503.6756163688                                 0.2983328807336126
44.89999999999999                                 85.07486995408313                                 1.7257119502964999E-12                            166505.31752435755                                0.30089964339083797
48.98                                             81.79753163650686                                 1.725729401176639E-12                             166507.00127252776                                0.30616586746811253
53.06                                             78.00600343357344                                 1.7256602063433644E-12                            166500.32500903957                                0.31097503248639574
57.14                                             73.58004116918796                                 1.72555728181427E-12                              166490.394335849                                  0.3167305803223499
61.21999999999999                                 68.32564598479749                                 1.7254459479911914E-12                            166479.65229193046                                0.32565027655627926
65.31                                             61.87280705343709                                 1.7256481746010832E-12                            166499.16412638527                                0.33590169426824784
69.38999999999999                                 53.46098909033204                                 1.7256662983346372E-12                            166500.91279481782                                0.3523362224198553
73.47                                             50                                                1.7257436348689044E-12                            166508.3746103265                                 0.3532071586279597
77.55                                             50                                                1.7257057959032716E-12                            166504.72371772688                                0.343241627452443
81.62999999999998                                 50                                                1.7256357965895952E-12                            166497.96983394743                                0.3347026470659429
85.71                                             50                                                1.7257010555634462E-12                            166504.26634603878                                0.32599963098113727
89.79999999999998                                 50                                                1.7256440132938375E-12                            166498.76262265607                                0.3168099074808137
93.88                                             50                                                1.725688915969307E-12                             166503.09505729872                                0.3095103704242129
97.96                                             50                                                1.7257041000187785E-12                            166504.56009031163                                0.3021792689702156
102.04                                            50                                                1.7256641440730553E-12                            166500.7049408884                                 0.29521686982333734
106.12                                            50                                                1.7256657502117031E-12                            166500.8599091756                                 0.2886550423986131
110.19999999999999                                50                                                1.7256693697114616E-12                            166501.20913661018                                0.28239387765909874
114.29                                            50                                                1.725679927507721E-12                             166502.22780558234                                0.2763614084435247
118.36999999999999                                50                                                1.725674220191969E-12                             166501.67713522236                                0.2705506673368157
122.45                                            50                                                1.7256799133978617E-12                            166502.22644419275                                0.2652279053045825
126.52999999999999                                50                                                1.7256886201461128E-12                            166503.06651479722                                0.2598724980630037
130.61                                            50                                                1.7256808588294218E-12                            166502.3176641566                                 0.2549393820840699
134.68999999999997                                50                                                1.7256930195136069E-12                            166503.4909877705                                 0.249962821150694
138.77999999999997                                50                                                1.7256861269223175E-12                            166502.82595609958                                0.24532973724953205
142.86                                            50                                                1.7257018741853346E-12                            166504.34533077202                                0.24079251416620892
146.94                                            50                                                1.7256948640077956E-12                            166503.66895379208                                0.23625523412686789
151.01999999999998                                50                                                1.7257003648288533E-12                            166504.19970051217                                0.23195219918005514
155.1                                             50                                                1.7257132536618593E-12                            166505.44327956456                                0.22789465998084613
159.18                                            50                                                1.7257029580223396E-12                            166504.44990478555                                0.22390882602555595
163.27                                            50                                                1.7256985147515212E-12                            166504.02119580045                                0.220034427377005
167.34999999999997                                50                                                1.7257623635915867E-12                            166510.18165113474                                0.21628868074615681
171.43                                            50                                                1.7257212628057518E-12                            166506.2160418127                                 0.21249303211982137
175.51                                            50                                                1.7257174999131323E-12                            166505.8529791186                                 0.20906083992860394
179.58999999999997                                50                                                1.725714075048164E-12                             166505.52253102235                                0.20571700362687723
183.67                                            50                                                1.725753055080974E-12                             166509.28351948794                                0.20235189239038134
187.76                                            50                                                1.72571908474214E-12                              166506.00589134532                                0.1989602461128699
191.83999999999997                                50                                                1.7257519364941479E-12                            166509.17559263765                                0.19592453558992626
195.92                                            50                                                1.7257162907968906E-12                            166505.7363175376                                 0.19269137057685343
200                                               50                                                1.7257599392499578E-12                            166509.94773853218                                0.1898226938653427
