% Model:              Pt_secm_Bruker_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 11 2020, 09:43
% Table:              Table 2 - L = 2 (tds.ntflux_cP/(2.15*4*D*Rbase*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 4                    TotalFlux (mol/s), Integral 4
-8                                                2                                                 0.2287403038114487                                1.445867460392169E-16
-7.8367                                           2                                                 0.2346165455742653                                1.4830111845749285E-16
-7.6735                                           2                                                 0.24029683036294708                               1.51891626472419E-16
-7.5102                                           2                                                 0.2467570237636838                                1.5597511472102429E-16
-7.3469                                           2                                                 0.2530676925724562                                1.5996408847504918E-16
-7.1837                                           2                                                 0.25970005068443347                               1.6415640203763072E-16
-7.0204                                           2                                                 0.26671678684462974                               1.6859168096449047E-16
-6.8571                                           2                                                 0.2744089899673424                                1.7345392255835746E-16
-6.6939                                           2                                                 0.28176315382135075                               1.7810248953047548E-16
-6.5306                                           2                                                 0.2896240155153211                                1.8307134020723451E-16
-6.3673                                           2                                                 0.29825384211376127                               1.8852625360010853E-16
-6.2041                                           2                                                 0.3072171485805814                                1.941919596177853E-16
-6.0408                                           2                                                 0.3165072644263978                                2.000642418439265E-16
-5.8776                                           2                                                 0.32642821969818414                               2.0633527767122239E-16
-5.7143                                           2                                                 0.33609094842374415                               2.1244308849864855E-16
-5.551                                            2                                                 0.34658728188282084                               2.1907782087813092E-16
-5.3878                                           2                                                 0.3576724958876504                                2.2608478465058377E-16
-5.2245                                           2                                                 0.3689619310210359                                2.332208365983964E-16
-5.0612                                           2                                                 0.3810260841785026                                2.408465878092315E-16
-4.898                                            2                                                 0.3933788631947624                                2.486547794254101E-16
-4.7347                                           2                                                 0.40689095056597                                  2.5719576985275013E-16
-4.5714                                           2                                                 0.42107016020923305                               2.6615844826825675E-16
-4.4082                                           2                                                 0.43533184784188755                               2.751732610208568E-16
-4.2449                                           2                                                 0.4516980006990857                                2.855183062418922E-16
-4.0816                                           2                                                 0.4676868704276786                                2.9562487079733556E-16
-3.9184                                           2                                                 0.4844680473372819                                3.062322527218958E-16
-3.7551                                           2                                                 0.5030274702163957                                3.1796366392378302E-16
-3.5918                                           2                                                 0.5211716167707577                                3.294325789607956E-16
-3.4286                                           2                                                 0.5424093484296916                                3.4285694914240665E-16
-3.2653                                           2                                                 0.5620374986667598                                3.5526390290725843E-16
-3.102                                            2                                                 0.5839617418699994                                3.691222170360275E-16
-2.9388                                           2                                                 0.6073709545723407                                3.839191803851769E-16
-2.7755                                           2                                                 0.6332414582616988                                4.0027192576721963E-16
-2.6122                                           2                                                 0.6581309401737039                                4.160045672837979E-16
-2.449                                            2                                                 0.6851070251462529                                4.3305615059494576E-16
-2.2857                                           2.619610716498674                                 0.5990147533560006                                3.7863722559632873E-16
-2.1224                                           2.745658339992252                                 0.5952199399559666                                3.7623852404616624E-16
-1.9592                                           3.027466393611003                                 0.5664768488581993                                3.5807001616326737E-16
-1.7959                                           3.235307892794343                                 0.546328691738144                                 3.4533436604768073E-16
-1.6327                                           3.3982489048806723                                0.5331002910045112                                3.3697269394395214E-16
-1.4694                                           3.530892223508892                                 0.5249772404326619                                3.3183811367748557E-16
-1.3061                                           3.6421087387868076                                0.5158635606403309                                3.260773566807529E-16
-1.1429                                           3.732627773066102                                 0.5097390515813743                                3.2220605450458666E-16
-0.9796                                           3.806703949184813                                 0.504656154917611                                 3.1899315552342184E-16
-0.8163                                           3.8492667694518645                                0.5034339612408285                                3.1822060690032807E-16
-0.6531                                           3.904708090431093                                 0.4994005785941578                                3.1567110572936705E-16
-0.4898                                           3.9469043014873813                                0.49682133571421516                               3.140407663049552E-16
-0.3265                                           3.9765605751101827                                0.49525894276163757                               3.1305317771963105E-16
-0.1633                                           3.9941591550535054                                0.4935126004100309                                3.11949314719181E-16
0                                                 4                                                 0.4947747738721042                                3.127471345645569E-16
