% Model:              Pt_secm_disk_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 20 2020, 02:01
% Table:              Table 3 - L = 4 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 6                    TotalFlux (mol/s), Integral 6
0                                                 6                                                 0.42772988097087594                               3.592931000155352E-17
0.16                                              6                                                 0.42757988774152617                               3.591671057028814E-17
0.33                                              6                                                 0.4277906897367407                                3.593441793788627E-17
0.49                                              6                                                 0.4266556556823695                                3.583907507731901E-17
0.65                                              6                                                 0.42524143637054784                               3.5720280655125985E-17
0.82                                              6                                                 0.42396306600986255                               3.561289754482846E-17
0.98                                              6                                                 0.42262595316582185                               3.550058006592913E-17
1.14                                              6                                                 0.42048505958373117                               3.5320745005033446E-17
1.31                                              6                                                 0.41807584110850887                               3.51183706531146E-17
1.47                                              6                                                 0.4157012612936456                                3.491890594866636E-17
1.63                                              6                                                 0.41290308288611605                               3.468385896243386E-17
1.8                                               6                                                 0.41028764488805375                               3.446416217059658E-17
1.96                                              6                                                 0.4060273575747661                                3.410629803628045E-17
2.12                                              6                                                 0.4026496092884161                                3.382256718022692E-17
2.29                                              6                                                 0.39995570825020116                               3.359627949301691E-17
2.45                                              6                                                 0.39498124055173195                               3.317842420634548E-17
2.61                                              6                                                 0.3914688962439389                                3.2883387284490896E-17
2.78                                              6                                                 0.38715983550543764                               3.252142618245681E-17
2.94                                              6                                                 0.38250863322267553                               3.213072519070479E-17
3.1                                               6                                                 0.37805195648524376                               3.1756364344760433E-17
3.27                                              6                                                 0.3733385502379896                                3.1360438219991124E-17
3.43                                              6                                                 0.3685666374921102                                3.095959754933733E-17
3.59                                              6                                                 0.3641173485931602                                3.0585857281825474E-17
3.76                                              6                                                 0.35855673687778705                               3.0118765897734074E-17
3.92                                              6                                                 0.3539123035701451                                2.972863349989217E-17
4.08                                              6                                                 0.3492804175569757                                2.933955507478594E-17
4.24                                              6                                                 0.3444921473776134                                2.893734037971952E-17
4.41                                              6                                                 0.33901216980565607                               2.847702226367516E-17
4.57                                              6                                                 0.3344882835694283                                2.809701581983207E-17
4.73                                              6                                                 0.3296501041791688                                2.7690608751050064E-17
4.9                                               6                                                 0.3256779504731005                                2.7356947839740384E-17
5.06                                              5.999099797408824                                 0.32107240310243707                               2.6970081860604636E-17
5.22                                              5.987863174365882                                 0.31763731777174725                               2.6681534692826695E-17
5.39                                              5.961606484491729                                 0.3111132376584925                                2.6133511963313423E-17
5.55                                              5.922888452302941                                 0.3081317946137653                                2.588307074755626E-17
5.71                                              5.869732601202642                                 0.30400969373800335                               2.553681427399222E-17
5.88                                              5.7959955456514916                                0.3011213056704446                                2.5294189676317247E-17
6.04                                              5.70833252032501                                  0.2987406121026122                                2.5094211416619482E-17
6.2                                               5.6                                               0.2970218387359728                                2.4949834453821628E-17
6.37                                              5.457086133349707                                 0.2946898406787516                                2.4753946617015157E-17
6.53                                              5.2880605575826                                   0.2936017277633563                                2.4662545132121953E-17
6.69                                              5.069532608198553                                 0.2931543647869013                                2.4624966642099655E-17
6.86                                              4.735119037979564                                 0.29409944733041876                               2.470435357575517E-17
7.02                                              4                                                 0.3014537267482346                                2.532211304685179E-17
7.18                                              4                                                 0.2957537327075644                                2.4843313547435402E-17
7.35                                              4                                                 0.2892195797021201                                2.4294444694978054E-17
7.51                                              4                                                 0.28338675076879555                               2.3804487064578747E-17
7.67                                              4                                                 0.27778943654100535                               2.3334312669444452E-17
7.84                                              4                                                 0.2714800350645094                                2.2804322945418872E-17
8                                                 4                                                 0.2666003390149209                                2.239442847725331E-17
