% Model:              Pt_secm_disk_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 10 2020, 01:42
% Table:              Table 2 - L = 2 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 4                    TotalFlux (mol/s), Integral 4
0                                                 4                                                 0.649027208863734                                 5.451828554455372E-17
0.16                                              4                                                 0.648745804536968                                 5.4494647581105144E-17
0.33                                              4                                                 0.6472166693733686                                5.4366200227363E-17
0.49                                              4                                                 0.6447756661320041                                5.416115595508824E-17
0.65                                              4                                                 0.6414759297292014                                5.388397809725287E-17
0.82                                              4                                                 0.6368192813085186                                5.349281962991533E-17
0.98                                              4                                                 0.6318171141360208                                5.307263758742565E-17
1.14                                              4                                                 0.6259695080790406                                5.2581438678639515E-17
1.31                                              4                                                 0.619785934434646                                 5.2062018492510404E-17
1.47                                              4                                                 0.6123594402102505                                5.143819297766092E-17
1.63                                              4                                                 0.6049082616749464                                5.081229398069537E-17
1.8                                               4                                                 0.5963776268723281                                5.009572065727563E-17
1.96                                              4                                                 0.5898703732815461                                4.954911135564993E-17
2.12                                              4                                                 0.5778175482513438                                4.8536674053113076E-17
2.29                                              4                                                 0.5679803495550237                                4.771034936262196E-17
2.45                                              4                                                 0.5577097855885559                                4.6847621989438575E-17
2.61                                              4                                                 0.5477791467301644                                4.601344832533384E-17
2.78                                              4                                                 0.5372175826011294                                4.5126276938494876E-17
2.94                                              4                                                 0.5267901468001647                                4.4250372331213816E-17
3.1                                               4                                                 0.5162050701600607                                4.336122589344514E-17
3.27                                              4                                                 0.5061830595473937                                4.251937700198106E-17
3.43                                              4                                                 0.49480726450763535                               4.156381021864141E-17
3.59                                              4                                                 0.48484509078380184                               4.072698762583936E-17
3.76                                              4                                                 0.4736238125902634                                3.9784400257582104E-17
3.92                                              4                                                 0.4637751606658443                                3.8957113495930796E-17
4.08                                              4                                                 0.4537466606056035                                3.8114719490870625E-17
4.24                                              4                                                 0.44379594610212847                               3.727885947257875E-17
4.41                                              4                                                 0.4334518080289202                                3.6409951874429166E-17
4.57                                              4                                                 0.4234172941315945                                3.556705270705384E-17
4.73                                              4                                                 0.41432611976261935                               3.4803394060059966E-17
4.9                                               4                                                 0.40462841588158815                               3.398878693405348E-17
5.06                                              3.9990997974088236                                0.39573028353913964                               3.324134381728777E-17
5.22                                              3.9878631743658817                                0.3867221511530271                                3.2484660696854146E-17
5.39                                              3.961606484491729                                 0.3786395861844125                                3.1805725239490694E-17
5.55                                              3.9228884523029413                                0.3710199139570947                                3.1165672772396E-17
5.71                                              3.8697326012026423                                0.36479115767102493                               3.064245724436608E-17
5.88                                              3.7959955456514916                                0.3574918226541704                                3.0029313102950245E-17
6.04                                              3.70833252032501                                  0.3516658750944093                                2.9539933507930353E-17
6.2                                               3.5999999999999996                                0.34624571105907237                               2.9084639728962035E-17
6.37                                              3.4570861333497067                                0.3409092797368221                                2.863637949789312E-17
6.53                                              3.2880605575826003                                0.33576766306967115                               2.820448369785232E-17
6.69                                              3.0695326081985526                                0.33095413796805084                               2.780014758931631E-17
6.86                                              2.7351190379795636                                0.3263790228821387                                2.7415837922099667E-17
7.02                                              2                                                 0.31948195897881                                  2.6836484554220052E-17
7.18                                              2                                                 0.31147897230029775                               2.6164233673225128E-17
7.35                                              2                                                 0.3028790000873659                                2.5441836007338718E-17
7.51                                              2                                                 0.2948802902705953                                2.4769944382730006E-17
7.67                                              2                                                 0.28922225184927364                               2.4294669155339025E-17
7.84                                              2                                                 0.28174967678469287                               2.3666972849914145E-17
8                                                 2                                                 0.2739047492779672                                2.3007998939349226E-17
