% Model:              Pt_secm_hemi_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 09:36
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*Rtip) (mM), Integral 6
-200                                              100                                               0.26218194980544474
-195.92                                           100                                               0.2670994108308119
-191.83999999999997                               100                                               0.2725558930082521
-187.76                                           100                                               0.2787494770871656
-183.67                                           100                                               0.28458581766450586
-179.58999999999997                               100                                               0.29112750549599986
-175.51                                           100                                               0.29793016835884933
-171.43                                           100                                               0.30460498174953976
-167.34999999999997                               101.51580472095839                                0.3104269873829163
-163.27                                           107.03447986154919                                0.31342937640647206
-159.18                                           111.38950260720802                                0.3168535151461904
-155.1                                            114.78084840724239                                0.32017346690514203
-151.01999999999998                               117.57975927597525                                0.32546339141636493
-146.94                                           119.86060186845468                                0.32947090925553957
-142.86                                           121.63216057615173                                0.33367301582623304
-138.77999999999997                               123.01455508489066                                0.33902548264100457
-134.68999999999997                               124.02619299925294                                0.34501543414705405
-130.61                                           124.67747074882135                                0.3503769960171076
-126.52999999999999                               124.97176802955843                                0.3573955236669272
-122.45                                           125                                               0.36479911833840695
-118.36999999999999                               125                                               0.371986861905504
-114.29                                           125                                               0.37921739130619975
-110.19999999999999                               125                                               0.3871206101556228
-106.12                                           125                                               0.3943430303803309
-102.04                                           125                                               0.4021557036659805
-97.96                                            125                                               0.4100850742858138
-93.88                                            125                                               0.4174114709832558
-89.79999999999998                                125                                               0.42534340322656566
-85.71                                            125                                               0.43329424127466354
-81.62999999999998                                125                                               0.4412817009695768
-77.55                                            125                                               0.4488713192828439
-73.47                                            125                                               0.45640115016903116
-69.38999999999999                                125                                               0.46364916900054537
-65.31                                            125                                               0.47113940926122155
-61.21999999999999                                125                                               0.4801967880517848
-57.14                                            125                                               0.4847864793366546
-53.06                                            125                                               0.4921292856506083
-48.98                                            131.79753163650685                                0.473156004426041
-44.89999999999999                                135.07486995408314                                0.4663278794179937
-40.82                                            137.9184201963145                                 0.46113807519564187
-36.73                                            140.39042055224908                                0.4569439136846654
-32.64999999999999                                142.5202006809814                                 0.45268167926499436
-28.57                                            144.34518800897433                                0.44918604362036474
-24.49                                            145.888926497726                                  0.4467549413163818
-20.41                                            147.16946653537073                                0.44471777903634324
-16.329999999999995                               148.20062226511465                                0.44264691183734595
-12.239999999999998                               148.9944754694565                                 0.440843942579382
-8.159999999999998                                149.55477449499796                                0.44067351766554685
-4.079999999999999                                149.8889417738026                                 0.4400708617190219
0                                                 150                                               0.43950912294029143
