% Model:              Pt_secm_hemi_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 9 2020, 16:20
% Table:              Table 2 - L = 50 (tds.ntflux_cP/(2*pi*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 4                    TotalFlux (mol/s), Integral 4
-8                                                2                                                 0.26007004069809525                               3.4315433429589234E-17
-7.8367                                           2                                                 0.2665103104330866                                3.516520700122585E-17
-7.6735                                           2                                                 0.2736449530653133                                3.6106600918160395E-17
-7.5102                                           2                                                 0.2806530945098001                                3.703130339660757E-17
-7.3469                                           2                                                 0.2883639734773378                                3.80487299067274E-17
-7.1837                                           2                                                 0.2962817355957017                                3.909345400549215E-17
-7.0204                                           2                                                 0.30472491481991304                               4.020750525808877E-17
-6.8571                                           2                                                 0.31330101195201043                               4.1339094615448674E-17
-6.6939                                           2.060632188838336                                 0.3236450605902509                                4.2703959678280223E-17
-6.5306                                           2.2812593453317715                                0.33551440646702546                               4.4270082970274646E-17
-6.3673                                           2.455485867330906                                 0.3461437363274651                                4.567259000356444E-17
-6.2041                                           2.591157789158574                                 0.3565076130781657                                4.704007132419833E-17
-6.0408                                           2.703251922059682                                 0.36652570385083305                               4.836192725992338E-17
-5.8776                                           2.7944732904114233                                0.37609917531654197                               4.962511706021635E-17
-5.7143                                           2.8652864230460695                                0.3861432422156543                                5.095040046507795E-17
-5.551                                            2.9205822033956266                                0.3970079466855212                                5.2383964446408183E-17
-5.3878                                           2.9610276872089285                                0.40838699132014855                               5.388539401362676E-17
-5.2245                                           2.987087413779273                                 0.41988421907761525                               5.540241747652594E-17
-5.0612                                           2.998867356779834                                 0.43230506651617007                               5.704130968522762E-17
-4.898                                            3                                                 0.44637071557484803                               5.889722835475741E-17
-4.7347                                           3                                                 0.46089798242933133                               6.081405605748251E-17
-4.5714                                           3                                                 0.47579167801211386                               6.277923289184471E-17
-4.4082                                           3                                                 0.49211618035810534                               6.493320023087908E-17
-4.2449                                           3                                                 0.5072459613490443                                6.692952780096454E-17
-4.0816                                           3                                                 0.5241304688487931                                6.915738607923356E-17
-3.9184                                           3                                                 0.5424813535959169                                7.157872827698795E-17
-3.7551                                           3                                                 0.5601530635031502                                7.391045546586708E-17
-3.5918                                           3                                                 0.5798868366808884                                7.65142654932645E-17
-3.4286                                           3                                                 0.5996585723062166                                7.912308454761296E-17
-3.2653                                           3                                                 0.6202026410020325                                8.183381054977708E-17
-3.102                                            3                                                 0.640872315199795                                 8.456110980747199E-17
-2.9388                                           3                                                 0.663201584945013                                 8.750738753871927E-17
-2.7755                                           3                                                 0.6860779866942203                                9.052585763710587E-17
-2.6122                                           3                                                 0.7089668789735303                                9.354597582211245E-17
-2.449                                            3                                                 0.73341772133786                                  9.677218846543851E-17
-2.2857                                           3                                                 0.7569551993637355                                9.987788552354393E-17
-2.1224                                           3                                                 0.7828502700164955                                1.032946596000737E-16
-1.9592                                           3.2719012654602753                                0.7450402561696019                                9.830574580726514E-17
-1.7959                                           3.4030695349906126                                0.7360292556097896                                9.711677229453693E-17
-1.6327                                           3.516801682691745                                 0.7286354732050193                                9.6141185690164E-17
-1.4694                                           3.6155044714165565                                0.7218273272675352                                9.524287199717E-17
-1.3061                                           3.7007596690560973                                0.716595811429877                                 9.455258974481561E-17
-1.1429                                           3.7737663185639847                                0.7113021973144271                                9.385411381774181E-17
-0.9796                                           3.83555705990904                                  0.707666744310681                                 9.3374427094882E-17
-0.8163                                           3.886806940202271                                 0.7050042172367872                                9.302311492407829E-17
-0.6531                                           3.928047197365507                                 0.7019850139467372                                9.262474043529848E-17
-0.4898                                           3.959745928285061                                 0.6999556695211795                                9.235697474666323E-17
-0.3265                                           3.9821800331301263                                0.6981401844070214                                9.211742712937454E-17
-0.1633                                           3.99555222121064                                  0.6977773464812383                                9.206955179296705E-17
0                                                 4                                                 0.6974160338516662                                9.20218777146537E-17
