% Model:              Pt_secm_disk_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 5 2020, 22:00
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            kback*cP (mol/s), Integral 7                      n*F*kback*cP (pA), Integral 7                     -(nx*cPx+ny*cPy+nz*cPz)*n*F*D (pA), Integral 7    tds.ntflux_cP/(4*D*Rtip) (mM), Integral 7
0                                                 75                                                7.275524190577344E-17                             7.019789515278538                                 5.36266435216569                                  0.8661339142096963
4.079999999999999                                 75                                                7.259430912190176E-17                             7.0042619156266825                                5.380372854773431                                 0.8642181338524725
8.159999999999998                                 75                                                7.244112163538187E-17                             6.989481620989842                                 5.28172102174971                                  0.8623943813718224
12.239999999999998                                75                                                7.155164046918382E-17                             6.9036600306691955                                5.359432883613538                                 0.8518049754554515
16.329999999999995                                75                                                7.086309701355359E-17                             6.837225915352719                                 5.342144334576427                                 0.8436080297335147
20.41                                             75                                                7.056650296533466E-17                             6.808609038610315                                 5.159672188344686                                 0.8400775208027971
24.49                                             75                                                6.959995471006408E-17                             6.715351630200531                                 5.154390960628426                                 0.8285710094094835
28.57                                             75                                                6.86623974494317E-17                              6.6248914179084215                                5.05726678196738                                  0.8174099873828351
32.64999999999999                                 75                                                6.759598038864389E-17                             6.52199816779833                                  4.957438788728359                                 0.804714097741191
36.73                                             75                                                6.624048197767719E-17                             6.391212903616179                                 4.8595883630902295                                0.7885773195517765
40.82                                             75                                                6.497754167110884E-17                             6.269358108136947                                 4.759020308469317                                 0.7735422095377299
44.89999999999999                                 75                                                6.325220206721517E-17                             6.1028887164552605                                4.71102669107565                                  0.7530022973150428
48.98                                             75                                                6.189859779529813E-17                             5.972286208279339                                 4.586661652804029                                 0.7368879975768978
53.06                                             75                                                6.042772903222753E-17                             5.830369435674468                                 4.524050131705472                                 0.7193776044965419
57.14                                             75                                                5.894713955539593E-17                             5.687514760002391                                 4.390437225634024                                 0.7017514086927604
61.21999999999999                                 75                                                5.765209551977964E-17                             5.562562436225941                                 4.16325582816967                                  0.6863345960801754
65.31                                             75                                                5.616192143052347E-17                             5.418782989224062                                 4.100804345975683                                 0.6685942779170094
69.38999999999999                                 75                                                5.458469643111916E-17                             5.266604435156512                                 3.9696125571483023                                0.6498178794779753
73.47                                             75                                                5.31037065065027E-17                              5.123711122279936                                 3.837184829941681                                 0.632187061331415
77.55                                             75                                                5.142530801084158E-17                             4.961770843426064                                 3.816253628784843                                 0.6122059907773291
81.62999999999998                                 75                                                4.9962969971149777E-17                            4.820677157666398                                 3.703761183799347                                 0.5947972111701352
85.71                                             75                                                4.883367320494044E-17                             4.7117169591786805                                3.52877442188441                                  0.5813532903849052
89.79999999999998                                 75                                                4.716316339970617E-17                             4.550537820620641                                 3.48007458618396                                  0.5614661863109726
93.88                                             75                                                4.578152190415691E-17                             4.417230140922573                                 3.397347744465438                                 0.5450181664177153
97.96                                             75                                                4.468634910335038E-17                             4.311562393236753                                 3.2380580559704963                                0.5319804698624897
102.04                                            75                                                4.340074309764482E-17                             4.187520697776246                                 3.156907165923369                                 0.5166756161954917
106.12                                            75                                                4.200732117304421E-17                             4.053076383381167                                 3.1320989363399048                                0.5000871220892563
110.19999999999999                                75                                                4.078122490466649E-17                             3.9347764849267364                                3.0312678516051577                                0.48549082727598336
114.29                                            75                                                3.978355909196341E-17                             3.838516698988078                                 2.8974317096180267                                0.47361387972015967
118.36999999999999                                75                                                3.869075154428491E-17                             3.733077162750337                                 2.8062742930943902                                0.4606042676697885
122.45                                            75                                                3.759263197858822E-17                             3.6271250964540847                                2.7118449896174273                                0.4475314480193018
126.52999999999999                                74.97658551762015                                 3.641321202365617E-17                             3.513328762102469                                 2.7078404216247525                                0.43349060924335636
130.61                                            74.6842822228519                                  3.5538647583888625E-17                            3.4289464121314963                                2.602453362470818                                 0.42307924234074823
134.68999999999997                                74.05205296417266                                 3.467270237368963E-17                             3.345395688525452                                 2.513847896313851                                 0.41277031467984227
138.77999999999997                                73.06362033804777                                 3.3576778893866063E-17                            3.239655511574656                                 2.488142872751981                                 0.3997235306086959
142.86                                            71.70139612474127                                 3.2844801070916753E-17                            3.1690306313274084                                2.4235241216766337                                0.3910095240545166
146.94                                            69.92923769662688                                 3.2191578402103064E-17                            3.1060044421269137                                2.3267009548513053                                0.3832332282293437
151.01999999999998                                67.69613097225555                                 3.128633001905169E-17                             3.0186615518881954                                2.3258207595057976                                0.3724562993451391
155.1                                             64.92480432012158                                 3.06630776429351E-17                              2.958527046378599                                 2.2114670565688215                                0.36503670997708276
159.18                                            61.49284313396257                                 2.981567707206579E-17                             2.8767656022982635                                2.2140598233822586                                0.3549485243439137
163.27                                            57.17774230737761                                 2.908589744265517E-17                             2.8063528147545838                                2.1404964204312202                                0.3462606849534417
167.34999999999997                                51.57964446714817                                 2.840781049610815E-17                             2.740927595716989                                 2.038377974991973                                 0.3381882632832194
