% Model:              Pt_secm_hemi_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 5 2020, 18:41
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            kfore*cR (mol/s), Integral 4                      n*F*kfore*cR (pA), Integral 4                     tds.ntflux_cP/(2*pi*D*Rtip) (mM), Integral 4
-200                                              50                                                9.06189442567557E-14                              8743.368836613081                                 0.2578892855883749
-195.92                                           50                                                9.062205868825584E-14                             8743.66933253634                                  0.26465098081059957
-191.83999999999997                               50                                                9.062139499780708E-14                             8743.60529636341                                  0.27159131849899676
-187.76                                           50                                                9.061824725856769E-14                             8743.301586742915                                 0.2790354673956549
-183.67                                           50                                                9.061703728934812E-14                             8743.18484286277                                  0.28703480474625764
-179.58999999999997                               50                                                9.061744579445293E-14                             8743.22425747781                                  0.2947881304501759
-175.51                                           50                                                9.062907323880253E-14                             8744.346131445902                                 0.30323501526373453
-171.43                                           50                                                9.06195241579491E-14                              8743.424788379709                                 0.31210446430409344
-167.34999999999997                               51.5158047209584                                  9.06280607463176E-14                              8744.248441108432                                 0.3220116192656759
-163.27                                           57.03447986154918                                 9.062206205799549E-14                             8743.66965766571                                  0.33469081236361986
-159.18                                           61.38950260720803                                 9.060521563324321E-14                             8742.044230373449                                 0.34498511725127645
-155.1                                            64.7808484072424                                  9.062051943192935E-14                             8743.520817389703                                 0.35488889568164306
-151.01999999999998                               67.57975927597525                                 9.061589247709919E-14                             8743.074385652923                                 0.3649143051856328
-146.94                                           69.8606018684547                                  9.060763212188578E-14                             8742.277385280124                                 0.3752093650681819
-142.86                                           71.63216057615172                                 9.061251262781776E-14                             8742.748280894988                                 0.38542481379313553
-138.77999999999997                               73.01455508489067                                 9.06070878879917E-14                              8742.224874872873                                 0.39630946550122104
-134.68999999999997                               74.02619299925296                                 9.061642817940149E-14                             8743.126072889549                                 0.40696909117197133
-130.61                                           74.67747074882135                                 9.0595905555101E-14                               8741.14594748394                                  0.419401981502154
-126.52999999999999                               74.97176802955845                                 9.05991149982094E-14                              8741.455610602214                                 0.4326660291513389
-122.45                                           75                                                9.060028860915552E-14                             8741.568846454391                                 0.445455086885167
-118.36999999999999                               75                                                9.059776840408238E-14                             8741.325684467882                                 0.4597277274381788
-114.29                                           75                                                9.05961829535323E-14                              8741.172712271584                                 0.47461247683706387
-110.19999999999999                               75                                                9.058677706286424E-14                             8740.26518491047                                  0.49067565954560566
-106.12                                           75                                                9.0578573163848E-14                               8739.473631713849                                 0.5067731190690992
-102.04                                           75                                                9.060105785528975E-14                             8741.643067167608                                 0.5232937064448352
-97.96                                            75                                                9.059910153279256E-14                             8741.45431139148                                  0.5411309103198441
-93.88                                            75                                                9.058726959821212E-14                             8740.312707183486                                 0.5592270445705796
-89.79999999999998                                75                                                9.058915454433385E-14                             8740.494576210043                                 0.5780691237879244
-85.71                                            75                                                9.05756803200075E-14                              8739.19451567589                                  0.5997025669003886
-81.62999999999998                                75                                                9.058246863448957E-14                             8739.849486198738                                 0.6192045506286301
-77.55                                            75                                                9.058143523110649E-14                             8739.749778273304                                 0.6406826242823138
-73.47                                            75                                                9.05738766183586E-14                              8739.020485522313                                 0.6630079857446671
-69.38999999999999                                75                                                9.05752199819132E-14                              8739.150099954897                                 0.6862602717036803
-65.31                                            75                                                9.056973214636419E-14                             8738.620606141953                                 0.7099753414976149
-61.21999999999999                                75                                                9.057436132542673E-14                             8739.06725248378                                  0.7336787645029232
-57.14                                            75                                                9.057444676872412E-14                             8739.075496480342                                 0.7584025198416582
-53.06                                            75                                                9.055366998275473E-14                             8737.070848286094                                 0.7806692021660055
-48.98                                            81.79753163650686                                 9.056075735781196E-14                             8737.754673668482                                 0.7437052864211003
-44.89999999999999                                85.07486995408313                                 9.056011145413037E-14                             8737.692353651757                                 0.7357088298439434
-40.82                                            87.91842019631451                                 9.057070309853442E-14                             8738.71428846208                                  0.7276581157179943
-36.73                                            90.3904205522491                                  9.058251076264438E-14                             8739.853550933758                                 0.7211071012901429
-32.64999999999999                                92.52020068098139                                 9.056664828519364E-14                             8738.323059796898                                 0.7154605371497789
-28.57                                            94.34518800897433                                 9.058022699489244E-14                             8739.633201602213                                 0.7104947808184467
-24.49                                            95.888926497726                                   9.05774306469723E-14                              8739.36339597312                                  0.7072393791063973
-20.41                                            97.16946653537074                                 9.057671734551572E-14                             8739.294573082083                                 0.7032455244762441
-16.329999999999995                               98.20062226511466                                 9.056774984175223E-14                             8738.429343481439                                 0.7002749209552028
-12.239999999999998                               98.99447546945649                                 9.056747466409552E-14                             8738.402792965251                                 0.6987103555276019
-8.159999999999998                                99.55477449499796                                 9.057360215809976E-14                             8738.994004224262                                 0.6965477354824461
-4.079999999999999                                99.88894177380263                                 9.05810294908085E-14                              8739.710630420639                                 0.6965900294339051
0                                                 100                                               9.057023076490759E-14                             8738.668715352127                                 0.6967425056083527
