% Model:              Pt_secm_Bruker_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 10 2020, 17:15
% Table:              Table 1 - L = 1 (tds.ntflux_cP/(2.4*4*D*Rbase*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 7                    TotalFlux (mol/s), Integral 7
0                                                 1                                                 0.692899348874527                                 4.3798167842358796E-16
0.16                                              1                                                 0.6885153381514235                                4.3521054524551553E-16
0.33                                              1                                                 0.6885982087977255                                4.352629277810419E-16
0.49                                              1                                                 0.6812169545775979                                4.3059723698849957E-16
0.65                                              1                                                 0.6744958192005728                                4.2634880731668256E-16
0.82                                              1                                                 0.6658321822040739                                4.20872522371195E-16
0.98                                              1                                                 0.6584549005439353                                4.1620934263382097E-16
1.14                                              1                                                 0.6431684654095147                                4.0654678698535425E-16
1.31                                              1                                                 0.6283656952376231                                3.971899559597016E-16
1.47                                              1                                                 0.6115962518708989                                3.865899908075957E-16
1.63                                              1                                                 0.5949594167763823                                3.7607384734435085E-16
1.8                                               1                                                 0.5737879202478712                                3.6269134438867913E-16
1.96                                              1                                                 0.5546151230848967                                3.505722193019629E-16
2.12                                              1                                                 0.5337274358886632                                3.3736911222522437E-16
2.29                                              1                                                 0.5115432384529437                                3.2334648102610536E-16
2.45                                              1                                                 0.49033374572344457                               3.0993996067179017E-16
2.61                                              1                                                 0.4703075113995537                                2.972813779556579E-16
2.78                                              1                                                 0.44938431191060535                               2.8405582355869323E-16
2.94                                              1                                                 0.4304757247680814                                2.721037056259036E-16
3.1                                               1                                                 0.41264531864799775                               2.6083310591739995E-16
3.27                                              1                                                 0.3947730377378348                                2.495360371540855E-16
3.43                                              1                                                 0.3786748791207191                                2.393603910922069E-16
3.59                                              1                                                 0.3633651719603174                                2.2968312519611634E-16
3.76                                              1                                                 0.3475446710806976                                2.1968298659010905E-16
3.92                                              1                                                 0.3340597530319539                                2.111591698914994E-16
4.08                                              1                                                 0.3212653055068291                                2.0307179961086723E-16
4.24                                              1                                                 0.3088238854719183                                1.9520757800679926E-16
4.41                                              1                                                 0.29644746667786886                               1.873844436870809E-16
4.57                                              1                                                 0.28589393111119327                               1.8071355385538527E-16
4.73                                              1                                                 0.2753093681150186                                1.740230515855031E-16
4.9                                               1                                                 0.26620348758218876                               1.6826722450070159E-16
5.06                                              1                                                 0.2551169813044857                                1.6125944388256574E-16
5.22                                              1                                                 0.24791248127469187                               1.5670547941373254E-16
5.39                                              1                                                 0.2378053466024537                                1.503167595874112E-16
5.55                                              1                                                 0.23095619606369405                               1.4598741153186114E-16
5.71                                              1                                                 0.22191966642249505                               1.4027542114565929E-16
5.88                                              1                                                 0.2141575071201911                                1.3536896025067264E-16
6.04                                              1                                                 0.20741833061193005                               1.311091267798014E-16
6.2                                               1                                                 0.2008069907066821                                1.2693009882569375E-16
6.37                                              1                                                 0.19402352783239107                               1.226422719428548E-16
6.53                                              1                                                 0.1880543246633741                                1.1886913861971864E-16
6.69                                              1                                                 0.18237834680177947                               1.1528135301340456E-16
6.86                                              1                                                 0.17670682007309096                               1.116963809682009E-16
7.02                                              1                                                 0.17166074466749628                               1.0850675670432419E-16
7.18                                              1                                                 0.16676620867978592                               1.0541292050649269E-16
7.35                                              1                                                 0.16265254033665366                               1.0281267074679908E-16
7.51                                              1                                                 0.15817340909764394                               9.998141189062057E-17
7.67                                              1                                                 0.15294747797607802                               9.66781008286788E-17
7.84                                              1                                                 0.14876797657341329                               9.403623799205455E-17
8                                                 1                                                 0.1444787213423362                                9.132499976049082E-17
