% Model:              Pt_secm_Bruker_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 14:14
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 4
0                                                 50                                                0.23501952639727627
4.079999999999999                                 50                                                0.23481307564602355
8.159999999999998                                 50                                                0.23430107294682878
12.239999999999998                                50                                                0.23349665821209253
16.329999999999995                                50                                                0.23238279861478983
20.41                                             50                                                0.23116236586947767
24.49                                             50                                                0.22941155074542136
28.57                                             50                                                0.22743389102383382
32.64999999999999                                 50                                                0.2250791353532058
36.73                                             50                                                0.2228298493925035
40.82                                             50                                                0.22002277814442203
44.89999999999999                                 50                                                0.21732660472702486
48.98                                             50                                                0.2143163989633998
53.06                                             50                                                0.21126329928379836
57.14                                             50                                                0.20789786721604
61.21999999999999                                 50                                                0.20580998979806903
65.31                                             50                                                0.20140512591347962
69.38999999999999                                 50                                                0.19800970447575256
73.47                                             50                                                0.19472580312396578
77.55                                             50                                                0.19127367855580157
81.62999999999998                                 50                                                0.18822545871197421
85.71                                             50                                                0.18495219012494268
89.79999999999998                                 50                                                0.18177988134486828
93.88                                             50                                                0.17862039870987084
97.96                                             50                                                0.17577766031337066
102.04                                            50                                                0.17285408405960023
106.12                                            50                                                0.16995261361212646
110.19999999999999                                50                                                0.16700656759346322
114.29                                            50                                                0.16416638179825627
118.36999999999999                                50                                                0.16144105636861505
122.45                                            50                                                0.1587313421319711
126.52999999999999                                50                                                0.15630542371282494
130.61                                            50                                                0.15383215284325857
134.68999999999997                                50                                                0.15146932869781382
138.77999999999997                                50                                                0.1489204902263439
142.86                                            50                                                0.14652732819611597
146.94                                            50                                                0.1442626036379574
151.01999999999998                                50                                                0.14214429608566925
155.1                                             50                                                0.14081506120284826
159.18                                            50                                                0.13781849043858108
163.27                                            50                                                0.13571792176081654
167.34999999999997                                50                                                0.13351301506086455
171.43                                            50                                                0.13165219803890987
175.51                                            50                                                0.12963733510001163
179.58999999999997                                50                                                0.12768468966599686
183.67                                            50                                                0.12596353116243805
187.76                                            50                                                0.12390043641158655
191.83999999999997                                50                                                0.12224301902037518
195.92                                            50                                                0.12035568901283608
200                                               50                                                0.11864061647431186
