% Model:              Pt_secm_disk_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 9 2020, 22:11
% Table:              Table 3 - L = 4 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 6                    TotalFlux (mol/s), Integral 6
-8                                                4                                                 0.18153144991548056                               1.5248641792900388E-17
-7.8367                                           4                                                 0.18402016586704376                               1.5457693932831668E-17
-7.6735                                           4                                                 0.18840263366338306                               1.5825821227724137E-17
-7.5102                                           4                                                 0.192910955396191                                 1.6204520253280017E-17
-7.3469                                           4                                                 0.19764579484153402                               1.6602246766688865E-17
-7.1837                                           4                                                 0.20207845899021537                               1.6974590555178144E-17
-7.0204                                           4                                                 0.20728796640760871                               1.7412189178239095E-17
-6.8571                                           4                                                 0.21212131456661604                               1.7818190423595736E-17
-6.6939                                           4                                                 0.21721672284551682                               1.8246204719023452E-17
-6.5306                                           4                                                 0.22439107585994073                               1.884885037223508E-17
-6.3673                                           4                                                 0.2286590308687961                                1.9207358592978845E-17
-6.2041                                           4                                                 0.23443384872721634                               1.9692443293086186E-17
-6.0408                                           4                                                 0.2408417021383238                                2.023070297961923E-17
-5.8776                                           4                                                 0.2469901896357701                                2.074717592940475E-17
-5.7143                                           4                                                 0.2534579089364668                                2.129046435066322E-17
-5.551                                            4                                                 0.2598355406826043                                2.182618541733875E-17
-5.3878                                           4                                                 0.2666770991422396                                2.2400876327948135E-17
-5.2245                                           4                                                 0.2740455874664513                                2.301982934718191E-17
-5.0612                                           4                                                 0.2816495773613846                                2.3658564498356308E-17
-4.898                                            4                                                 0.28926462274648473                               2.429822831070477E-17
-4.7347                                           4                                                 0.2967956732922029                                2.493083655654506E-17
-4.5714                                           4                                                 0.30501817494218947                               2.562152669514394E-17
-4.4082                                           4                                                 0.3131259704554572                                2.6302581518258478E-17
-4.2449                                           4                                                 0.32140242976629846                               2.699780410036921E-17
-4.0816                                           4                                                 0.32988602066151                                  2.771042573556692E-17
-3.9184                                           4                                                 0.33842471684489955                               2.842767621497159E-17
-3.7551                                           4                                                 0.3472769390841649                                2.917126288306983E-17
-3.5918                                           4                                                 0.3558137654815715                                2.9888356300452047E-17
-3.4286                                           4                                                 0.3651419214767882                                3.0671921404050194E-17
-3.2653                                           4                                                 0.3732775616464301                                3.135531517830008E-17
-3.102                                            4                                                 0.3825287384213632                                3.2132414027394495E-17
-2.9388                                           4                                                 0.39095474459273954                               3.284019854579023E-17
-2.7755                                           4                                                 0.4000835700675498                                3.360701988567418E-17
-2.6122                                           4                                                 0.4088673919794952                                3.434486092627752E-17
-2.449                                            4                                                 0.4168819802861252                                3.501808634403445E-17
-2.2857                                           4                                                 0.4252315213570745                                3.5719447793994265E-17
-2.1224                                           4                                                 0.43284629414926745                               3.6359088708538505E-17
-1.9592                                           4                                                 0.4406628223681445                                3.701567707892413E-17
-1.7959                                           4                                                 0.44784977592547415                               3.761938117773982E-17
-1.6327                                           4                                                 0.4546974537658323                                3.8194586116329977E-17
-1.4694                                           4                                                 0.46071717601791995                               3.870024278550525E-17
-1.3061                                           4                                                 0.46686659695591387                               3.921679414429664E-17
-1.1429                                           4                                                 0.47111171339092767                               3.957338392483784E-17
-0.9796                                           4                                                 0.47636651972076133                               4.001478765654384E-17
-0.8163                                           4                                                 0.4802191205444307                                4.033840612573216E-17
-0.6531                                           4                                                 0.48349697035869477                               4.0613745510130284E-17
-0.4898                                           4                                                 0.4859453391524726                                4.0819408488807734E-17
-0.3265                                           4                                                 0.4877465430403778                                4.097070961539173E-17
-0.1633                                           4                                                 0.4889748495308284                                4.1073887360589583E-17
0                                                 4                                                 0.48955193053324414                               4.112236216479238E-17
