% Model:              Pt_secm_hemi_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 9 2020, 20:32
% Table:              Table 1 - L = 25 (tds.ntflux_cP/(2*pi*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 7                    TotalFlux (mol/s), Integral 7
-8                                                1                                                 0.1521832677644181                                2.008010911233534E-17
-7.8367                                           1                                                 0.15669502896119697                               2.0675421977218497E-17
-7.6735                                           1                                                 0.16156831796433102                               2.1318437312323284E-17
-7.5102                                           1                                                 0.16653767469072936                               2.197412848488158E-17
-7.3469                                           1                                                 0.171588029952972                                 2.2640507162456456E-17
-7.1837                                           1                                                 0.17738699314271378                               2.340566232898041E-17
-7.0204                                           1                                                 0.18292965417747725                               2.413699922288275E-17
-6.8571                                           1                                                 0.189552994690811                                 2.501092841463712E-17
-6.6939                                           1                                                 0.1960616576041236                                2.5869726253549574E-17
-6.5306                                           1                                                 0.20286242312392447                               2.6767066123372895E-17
-6.3673                                           1                                                 0.2102166450330265                                2.7737432843318172E-17
-6.2041                                           1                                                 0.2180384839501611                                2.876950017386264E-17
-6.0408                                           1                                                 0.2265348012930385                                2.9890562836034637E-17
-5.8776                                           1                                                 0.23575955745532232                               3.1107740736039237E-17
-5.7143                                           1                                                 0.24499558243166886                               3.232640552102996E-17
-5.551                                            1                                                 0.25617749201334894                               3.3801823730816154E-17
-5.3878                                           1                                                 0.26651262679893395                               3.5165512638498923E-17
-5.2245                                           1                                                 0.27722194512253134                               3.657857390085428E-17
-5.0612                                           1                                                 0.28994741454905143                               3.825766003393537E-17
-4.898                                            1                                                 0.3032154268640332                                4.000833301462788E-17
-4.7347                                           1                                                 0.31765288253932733                               4.1913310411441136E-17
-4.5714                                           1                                                 0.3325775411861659                                4.388257272585544E-17
-4.4082                                           1                                                 0.3492344063515368                                4.608039430574079E-17
-4.2449                                           1                                                 0.3674517836156892                                4.8484120606131666E-17
-4.0816                                           1                                                 0.3870601109273649                                5.10713784414565E-17
-3.9184                                           1                                                 0.4100674844062122                                5.4107129852437305E-17
-3.7551                                           1                                                 0.43093976436567893                               5.686116231057915E-17
-3.5918                                           1                                                 0.458319612968213                                 6.047384822207641E-17
-3.4286                                           1                                                 0.48290695244516046                               6.371807123510438E-17
-3.2653                                           1                                                 0.5124420186646761                                6.761513141156218E-17
-3.102                                            1                                                 0.5447965208640886                                7.188420740121181E-17
-2.9388                                           1                                                 0.5834041960828608                                7.697837013246983E-17
-2.7755                                           1                                                 0.6160488083416307                                8.128572524263014E-17
-2.6122                                           1                                                 0.6561433474650569                                8.65760750441176E-17
-2.449                                            1                                                 0.701796504518196                                 9.259986720219309E-17
-2.2857                                           1                                                 0.7409224716278634                                9.776241693731874E-17
-2.1224                                           1                                                 0.7850521950569443                                1.0358519676436837E-16
-1.9592                                           1                                                 0.8282036553951535                                1.0927889781755608E-16
-1.7959                                           1                                                 0.8721169321501527                                1.1507311817879577E-16
-1.6327                                           1                                                 0.9122605958716448                                1.203699498182916E-16
-1.4694                                           1                                                 0.9501971094195648                                1.2537555485341948E-16
-1.3061                                           1                                                 0.9861522559403062                                1.3011972466848888E-16
-1.1429                                           1                                                 1.0171518720912593                                1.3421002765577435E-16
-0.9796                                           1                                                 1.0440945477207135                                1.3776502995244658E-16
-0.8163                                           1                                                 1.0682265363090575                                1.409491708312045E-16
-0.6531                                           1                                                 1.086863264212307                                 1.4340822914485212E-16
-0.4898                                           1                                                 1.1018923566226917                                1.4539127116972882E-16
-0.3265                                           1                                                 1.112463963800176                                 1.4678616187443677E-16
-0.1633                                           1                                                 1.1182640793356147                                1.4755146908939324E-16
0                                                 1                                                 1.1204856525374833                                1.4784459876750947E-16
