% Model:              Pt_secm_hemi_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 09:40
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*Rtip) (mM), Integral 6
-200                                              100                                               0.16974275828410357
-195.92                                           100                                               0.1732852705705615
-191.83999999999997                               100                                               0.17717477929532774
-187.76                                           100                                               0.18107522947056243
-183.67                                           100                                               0.18455263427510327
-179.58999999999997                               100                                               0.18848845707087558
-175.51                                           100                                               0.19275590018849162
-171.43                                           100                                               0.19680488767498033
-167.34999999999997                               101.51580472095839                                0.201352316836273
-163.27                                           107.03447986154919                                0.20546454675542972
-159.18                                           111.38950260720802                                0.21030131571715815
-155.1                                            114.78084840724239                                0.21540433648300986
-151.01999999999998                               117.57975927597525                                0.21995980425527378
-146.94                                           119.86060186845468                                0.22419763615997307
-142.86                                           121.63216057615173                                0.22998278596603156
-138.77999999999997                               123.01455508489066                                0.23543284291620964
-134.68999999999997                               124.02619299925294                                0.2404266777762175
-130.61                                           124.67747074882135                                0.24683878517982288
-126.52999999999999                               124.97176802955843                                0.2513041400508444
-122.45                                           125                                               0.2583930868770106
-118.36999999999999                               125                                               0.26254372357956807
-114.29                                           125                                               0.2688180466342795
-110.19999999999999                               125                                               0.27502424632743794
-106.12                                           125                                               0.2806971478447751
-102.04                                           125                                               0.2873905468735769
-97.96                                            125                                               0.2935565826665981
-93.88                                            125                                               0.29943532642602655
-89.79999999999998                                125                                               0.3058581167140074
-85.71                                            125                                               0.31170759556728744
-81.62999999999998                                125                                               0.31814115289122247
-77.55                                            125                                               0.32587317885704986
-73.47                                            125                                               0.330379904004917
-69.38999999999999                                125                                               0.3364978524465645
-65.31                                            125                                               0.3443098692089592
-61.21999999999999                                125                                               0.3478323376594299
-57.14                                            125                                               0.35337539536106566
-53.06                                            125                                               0.35887555890785394
-48.98                                            131.79753163650685                                0.3636019605154727
-44.89999999999999                                135.07486995408314                                0.36840350508977066
-40.82                                            137.9184201963145                                 0.37316099540337166
-36.73                                            140.39042055224908                                0.3772653716507781
-32.64999999999999                                142.5202006809814                                 0.3812606096694485
-28.57                                            144.34518800897433                                0.38490078748825496
-24.49                                            145.888926497726                                  0.38782302462747853
-20.41                                            147.16946653537073                                0.38998218261344403
-16.329999999999995                               148.20062226511465                                0.39228667001603823
-12.239999999999998                               148.9944754694565                                 0.39354012656501525
-8.159999999999998                                149.55477449499796                                0.39529659620468016
-4.079999999999999                                149.8889417738026                                 0.3957773311720684
0                                                 150                                               0.3961364944571223
