% Model:              Pt_secm_disk_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 00:50
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            kback*cP (mol/s), Integral 7                      n*F*kback*cP (pA), Integral 7                     -(nx*cPx+ny*cPy+nz*cPz)*n*F*D (pA), Integral 7    tds.ntflux_cP/(4*D*Rtip) (mM), Integral 7
0                                                 25                                                7.893918098720368E-17                             7.616446877550364                                 5.829811414556306                                 0.9397536342344316
4.079999999999999                                 25                                                7.89129554647289E-17                              7.613916508014385                                 5.7937181826147                                   0.939441390350622
8.159999999999998                                 25                                                7.850051546956756E-17                             7.574122235081217                                 5.784337089868401                                 0.9345301030054504
12.239999999999998                                25                                                7.729458264788097E-17                             7.457767806780795                                 5.852375253339547                                 0.9201741012986253
16.329999999999995                                25                                                7.649879390559747E-17                             7.380986129981567                                 5.788879723572304                                 0.9106997264769526
20.41                                             25                                                7.590048759648462E-17                             7.323258545746829                                 5.589979368602221                                 0.9035773474461604
24.49                                             25                                                7.454103050956311E-17                             7.192091328715188                                 5.496379763198335                                 0.8873938701520026
28.57                                             25                                                7.310132325235315E-17                             7.053181174003303                                 5.412332437170546                                 0.870254222732148
32.64999999999999                                 25                                                7.137791787671999E-17                             6.8868984063353205                                5.231470636263128                                 0.849738424834266
36.73                                             25                                                6.895442999144305E-17                             6.653068177724394                                 5.204645661057421                                 0.8208863219824424
40.82                                             25                                                6.684371674631721E-17                             6.449416010268438                                 5.025076450793657                                 0.7957582025064396
44.89999999999999                                 25                                                6.470353750366014E-17                             6.242920816040637                                 4.88884142079046                                  0.7702802314876065
48.98                                             25                                                6.238633255597032E-17                             6.019345296662786                                 4.71865347573226                                  0.7426943303371218
53.06                                             25                                                5.999588123310764E-17                             5.788702600776394                                 4.51021344880845                                  0.7142395918523363
57.14                                             25                                                5.760245029356768E-17                             5.557772416574868                                 4.335560326144565                                 0.685743145316799
61.21999999999999                                 25                                                5.558157974035873E-17                             5.3627887212485295                                4.066398361640653                                 0.6616854050540901
65.31                                             25                                                5.282513775870545E-17                             5.09683341664872                                  3.9406297861826705                                0.628870490204054
69.38999999999999                                 25                                                5.081403590522832E-17                             4.902792254315961                                 3.6940535221210764                                0.6049285988838209
73.47                                             25                                                4.844525933284656E-17                             4.67424084672969                                  3.552369145083542                                 0.5767288888356188
77.55                                             25                                                4.59203057373844E-17                              4.430620699071541                                 3.396864564302944                                 0.5466700588766323
81.62999999999998                                 25                                                4.396372483041374E-17                             4.241839990262456                                 3.17901335010638                                  0.5233774141087759
85.71                                             25                                                4.193236034390175E-17                             4.045843787781367                                 3.0523446565327452                                0.4991946692253727
89.79999999999998                                 25                                                3.974347897731942E-17                             3.8346495691266616                                2.948377456273541                                 0.47313648415003334
93.88                                             25                                                3.814654385996485E-17                             3.6805692843286932                                2.7365552245567786                                0.4541254767145144
97.96                                             25                                                3.642313088190011E-17                             3.5142857831401413                                2.603403106722736                                 0.4336086222553815
102.04                                            25                                                3.447798385703141E-17                             3.326608272445683                                 2.5481433961290825                                0.4104522605043304
106.12                                            25                                                3.2923830373937974E-17                            3.1766557736294057                                2.45014781425367                                  0.39195028037094326
110.19999999999999                                25                                                3.155246408385967E-17                             3.0443394971311886                                2.3218630229300117                                0.37562462340057995
114.29                                            25                                                3.042341652475483E-17                             2.935403343390974                                 2.1813790266698843                                0.36218351391978104
118.36999999999999                                25                                                2.905660715810425E-17                             2.8035267416496916                                2.091673322499098                                 0.3459120238212579
122.45                                            25                                                2.791908500842386E-17                             2.6937729170377693                                1.9923087421733219                                0.33237003381297997
126.52999999999999                                25                                                2.659623892354561E-17                             2.5661381125383014                                1.9522405748689053                                0.31662191730340006
130.61                                            25                                                2.5490825333566883E-17                            2.4594822823092013                                1.8788382089194369                                0.30346228583977813
134.68999999999997                                25                                                2.4538083780839128E-17                            2.367557013594266                                 1.79416409109701                                  0.2921201086372949
138.77999999999997                                25                                                2.3686090402532175E-17                            2.2853524324883163                                1.6997070927484965                                0.2819772351809804
142.86                                            25                                                2.2851503257410862E-17                            2.204827291791286                                 1.640890305572866                                 0.2720417128080763
146.94                                            25                                                2.196934700126353E-17                             2.1197124454169134                                1.5689828959657977                                0.26153985435619265
151.01999999999998                                25                                                2.102731296351315E-17                             2.028820291284574                                 1.5512464633110339                                0.2503252076383523
155.1                                             25                                                2.0438941705496232E-17                            1.972051290454809                                 1.4669862194364256                                0.243320707001337
159.18                                            25                                                1.9608157857916348E-17                            1.8918931109210597                                1.4405071638434364                                0.2334304890390295
163.27                                            25                                                1.8905704692384212E-17                            1.8241169172446903                                1.3896846237668654                                0.22506795260759335
