% Model:              Pt_secm_hemi_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 03:37
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*Rtip) (mM), Integral 7
-200                                              25                                                0.1514673266330313
-195.92                                           25                                                0.15567973892299083
-191.83999999999997                               25                                                0.16032423013630664
-187.76                                           25                                                0.1655014047743164
-183.67                                           25                                                0.1705510615571817
-179.58999999999997                               25                                                0.17616575389403583
-175.51                                           25                                                0.18194608313676652
-171.43                                           25                                                0.18928791373987514
-167.34999999999997                               25                                                0.19504697779823127
-163.27                                           25                                                0.20188485235593795
-159.18                                           25                                                0.20939113606816825
-155.1                                            25                                                0.2172894586999799
-151.01999999999998                               25                                                0.225807966257311
-146.94                                           25                                                0.2352631604349402
-142.86                                           25                                                0.24449010361834958
-138.77999999999997                               25                                                0.25614244834621525
-134.68999999999997                               25                                                0.2667139704081837
-130.61                                           25                                                0.27852426156918153
-126.52999999999999                               25                                                0.2895864907714878
-122.45                                           25                                                0.30251501896244043
-118.36999999999999                               25                                                0.31812552172208225
-114.29                                           25                                                0.33282294499188886
-110.19999999999999                               25                                                0.34888094674920267
-106.12                                           25                                                0.36666316613996075
-102.04                                           25                                                0.3862488343505054
-97.96                                            25                                                0.4075267053881487
-93.88                                            25                                                0.4308224891983242
-89.79999999999998                                25                                                0.45534917319019325
-85.71                                            25                                                0.4829810073582307
-81.62999999999998                                25                                                0.5124740301028305
-77.55                                            25                                                0.545008012603786
-73.47                                            25                                                0.579527944221998
-69.38999999999999                                25                                                0.6163751830074008
-65.31                                            25                                                0.6566005797216856
-61.21999999999999                                25                                                0.6984652584219868
-57.14                                            25                                                0.7410284446107334
-53.06                                            25                                                0.7849715971489583
-48.98                                            25                                                0.8294312684386922
-44.89999999999999                                25                                                0.8721166940808007
-40.82                                            25                                                0.9122609677715497
-36.73                                            25                                                0.9504185950566284
-32.64999999999999                                25                                                0.9869221783727375
-28.57                                            25                                                1.0180366020512261
-24.49                                            25                                                1.0458750069253193
-20.41                                            25                                                1.0693572609621929
-16.329999999999995                               25                                                1.0883269549151842
-12.239999999999998                               25                                                1.101379510469018
-8.159999999999998                                25                                                1.113971052159766
-4.079999999999999                                25                                                1.119327279132737
0                                                 25                                                1.1210330916615157
