% Model:              Pt_secm_hemi_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 03:37
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*Rtip) (mM), Integral 4
-200                                              50                                                0.17061471296365222
-195.92                                           50                                                0.17498868270329265
-191.83999999999997                               50                                                0.17980195695537593
-187.76                                           50                                                0.1850118212585471
-183.67                                           50                                                0.18979924051132474
-179.58999999999997                               50                                                0.19524077379283525
-175.51                                           50                                                0.20073640643320495
-171.43                                           50                                                0.20697103471019024
-167.34999999999997                               50                                                0.2130880338299014
-163.27                                           50                                                0.21967521566790216
-159.18                                           50                                                0.22657200391093466
-155.1                                            50                                                0.2341826453697871
-151.01999999999998                               50                                                0.24302768909257305
-146.94                                           50                                                0.2497214475420746
-142.86                                           50                                                0.2580381771797336
-138.77999999999997                               50                                                0.26699070564188543
-134.68999999999997                               50                                                0.2764150745628958
-130.61                                           50                                                0.28621485490998083
-126.52999999999999                               50                                                0.2966414059739265
-122.45                                           50                                                0.3072316315563173
-118.36999999999999                               50                                                0.31853528543468546
-114.29                                           50                                                0.33059609406203544
-110.19999999999999                               50                                                0.343290325426826
-106.12                                           50                                                0.35633679947484803
-102.04                                           50                                                0.37028550766202384
-97.96                                            50                                                0.3845652098768817
-93.88                                            50                                                0.39899598462065394
-89.79999999999998                                50                                                0.41444953509408533
-85.71                                            50                                                0.43037940651890005
-81.62999999999998                                50                                                0.44728056388921117
-77.55                                            50                                                0.464342095885662
-73.47                                            50                                                0.48203767628287786
-69.38999999999999                                50                                                0.4999769488346501
-65.31                                            50                                                0.5182888048777383
-61.21999999999999                                50                                                0.5361724657311362
-57.14                                            50                                                0.5542792300157607
-53.06                                            50                                                0.5724280245634307
-48.98                                            50                                                0.5904541805119248
-44.89999999999999                                50                                                0.606665431529831
-40.82                                            50                                                0.6253825914181473
-36.73                                            50                                                0.6396839351151452
-32.64999999999999                                50                                                0.6517279272023564
-28.57                                            50                                                0.6645120657137027
-24.49                                            50                                                0.6762276510272978
-20.41                                            50                                                0.6851147338345399
-16.329999999999995                               50                                                0.6936846479173662
-12.239999999999998                               50                                                0.6993324435802502
-8.159999999999998                                50                                                0.704421699488796
-4.079999999999999                                50                                                0.707721806720126
0                                                 50                                                0.7080621466502992
